# OneRoadTrip - Validation des noms de places

## Contexte
Je nettoie les noms et les place_id dans mon catalogue OneRoadTrip. Pour chaque ligne ci-dessous, donne-moi le bon nom à afficher selon ces règles strictes.

## Règle de langue
Pays "AU" → langue locale non lisible (alphabet non latin ou difficile à prononcer). Utilise l'anglais.

Si la langue locale a une orthographe latine acceptable (Bologna, München, Köln, Århus, etc.) → utilise-la.
Si la langue est non latine (grec, japonais, arabe, cyrillique, hébreu, thaï, etc.) → utilise l'anglais standard.

## Détection des doublons
Si deux place_id pointent visiblement vers la même ville (ex: "ES::barcelone" et "ES::barcelona", "FR::haroue" et "FR::haroué", "MU::trou-d-eau-douce" et "MU::trou-deau-douce"), marque l'un comme doublon de l'autre.

Le "gardé" est celui dont le slug est le plus correct (avec apostrophe, accent, orthographe locale). L'autre est marqué comme doublon de celui-ci.

## Colonne "choix" (IMPORTANT)
- **OK** : tu es sûr de la correction, elle peut être appliquée automatiquement
- **?** : cas douteux, l'utilisateur doit valider à la main

Mets **?** quand :
- confiance moyenne ou basse
- granularité bizarre (un quartier au lieu d'une ville, un village dans un parc, etc.)
- doublon possible mais pas évident
- la donnée Wikidata semble fausse (ex: "Cachi Department" pour la ville de Cachi)

Mets **OK** quand :
- changement orthographique simple et clair (Bologne → Bologna, Zell Am See → Zell am See)
- nom déjà correct, juste recopié
- doublon strict évident (haroue/haroué)

## Format de sortie OBLIGATOIRE
Réponds UNIQUEMENT avec un bloc TSV (tab-separated), sans explication avant ou après, sans markdown autour, sans backticks.

Colonnes (séparées par TAB, dans cet ordre) :
`place_id_actuel\tnom_corrige\tdoublon_de\tchoix\tconfiance\tcommentaire`

- **place_id_actuel** : recopier exactement ce qui est en entrée
- **nom_corrige** : le bon nom à afficher (si déjà correct, recopier le nom_actuel)
- **doublon_de** : si c'est un doublon, le place_id à garder. Sinon vide.
- **choix** : OK ou ?
- **confiance** : H, M ou L
- **commentaire** : court (max 80 caractères) si changement notable, sinon vide

## Données (pays AU)

place_id_actuel	nom_actuel	nom_anglais	nom_local
AU::airlie-beach	Airlie Beach	Airlie	Airlie
AU::albany	Albany	Albany	Albany
AU::beagle-bay	Beagle Bay		
AU::bell-gorge	Bell Gorge		
AU::broome	Broome		
AU::byron-bay	Byron Bay	Byron Bay	Byron Bay
AU::cairns	Cairns	Cairns	Cairns
AU::cape-leveque	Cape Leveque		
AU::coral-bay	Coral Bay		
AU::darwin	Darwin		
AU::denmark	Denmark	Denmark	Denmark
AU::derby	Derby		
AU::drysdale-river	Drysdale River		
AU::echuca	Echuca		
AU::el-questro	El Questro		
AU::gold-coast	Gold Coast		
AU::hervey-bay	Hervey Bay	Hervey Bay	Hervey Bay
AU::home-valley	Home Valley		
AU::hunter-valley	Hunter Valley		
AU::jabiru	Jabiru		
AU::jervis-bay	Jervis Bay		
AU::kakadu	Kakadu		
AU::kununurra	Kununurra		
AU::litchfield	Litchfield		
AU::manning-gorge	Manning Gorge		
AU::margaret-river	Margaret River		
AU::melbourne	Melbourne	Melbourne	Melbourne
AU::mission-beach	Mission Beach		
AU::mornington	Mornington		
AU::mount-barker	Mount Barker		
AU::mount-hart	Mount Hart		
AU::murwillumbah	Murwillumbah		
AU::noosa	Noosa	Noosa Shire	Noosa Shire
AU::palm-cove	Palm Cove		
AU::pemberton	Pemberton		
AU::perth	Perth		
AU::port-campbell	Port Campbell	Port Campbell	Port Campbell
AU::rottnest-island	Rottnest Island		
AU::sydney	Sydney		
AU::townsville	Townsville		
AU::walpole	Walpole		
AU::windjana-gorge	Windjana Gorge		
