# OneRoadTrip - Validation des noms de places

## Contexte
Je nettoie les noms et les place_id dans mon catalogue OneRoadTrip. Pour chaque ligne ci-dessous, donne-moi le bon nom à afficher selon ces règles strictes.

## Règle de langue
Pays "CN" → langue locale non lisible (alphabet non latin ou difficile à prononcer). Utilise l'anglais.

Si la langue locale a une orthographe latine acceptable (Bologna, München, Köln, Århus, etc.) → utilise-la.
Si la langue est non latine (grec, japonais, arabe, cyrillique, hébreu, thaï, etc.) → utilise l'anglais standard.

## Détection des doublons
Si deux place_id pointent visiblement vers la même ville (ex: "ES::barcelone" et "ES::barcelona", "FR::haroue" et "FR::haroué", "MU::trou-d-eau-douce" et "MU::trou-deau-douce"), marque l'un comme doublon de l'autre.

Le "gardé" est celui dont le slug est le plus correct (avec apostrophe, accent, orthographe locale). L'autre est marqué comme doublon de celui-ci.

## Colonne "choix" (IMPORTANT)
- **OK** : tu es sûr de la correction, elle peut être appliquée automatiquement
- **?** : cas douteux, l'utilisateur doit valider à la main

Mets **?** quand :
- confiance moyenne ou basse
- granularité bizarre (un quartier au lieu d'une ville, un village dans un parc, etc.)
- doublon possible mais pas évident
- la donnée Wikidata semble fausse (ex: "Cachi Department" pour la ville de Cachi)

Mets **OK** quand :
- changement orthographique simple et clair (Bologne → Bologna, Zell Am See → Zell am See)
- nom déjà correct, juste recopié
- doublon strict évident (haroue/haroué)

## Format de sortie OBLIGATOIRE
Réponds UNIQUEMENT avec un bloc TSV (tab-separated), sans explication avant ou après, sans markdown autour, sans backticks.

Colonnes (séparées par TAB, dans cet ordre) :
`place_id_actuel\tnom_corrige\tdoublon_de\tchoix\tconfiance\tcommentaire`

- **place_id_actuel** : recopier exactement ce qui est en entrée
- **nom_corrige** : le bon nom à afficher (si déjà correct, recopier le nom_actuel)
- **doublon_de** : si c'est un doublon, le place_id à garder. Sinon vide.
- **choix** : OK ou ?
- **confiance** : H, M ou L
- **commentaire** : court (max 80 caractères) si changement notable, sinon vide

## Données (pays CN)

place_id_actuel	nom_actuel	nom_anglais	nom_local
CN::altay	Altay		
CN::alxa-left-banner	Alxa Left Banner		
CN::anshun	Anshun		
CN::anyang	Anyang		
CN::badain-jaran	Badain Jaran		
CN::baihaba	Baihaba		
CN::baotou	Baotou		
CN::batang	Batang		
CN::bayanbulak	Bayanbulak		
CN::beijing	Beijing		
CN::beitun	Beitun		
CN::benzilan	Benzilan		
CN::burqin	Burqin		
CN::chaka	Chaka		
CN::changbaishan	Changbaishan		
CN::chaozhou	Chaozhou		
CN::chengdu	Chengdu		
CN::chongqing	Chongqing	Chongqing	Chongqing
CN::cizhong	Cizhong		
CN::danba	Danba		
CN::dandong	Dandong		
CN::daocheng	Daocheng		
CN::datong	Datong		
CN::dehang	Dehang		
CN::dengfeng	Dengfeng		
CN::deqin	Deqin		
CN::dunhuang	Dunhuang	Dunhuang City	Dunhuang City
CN::enshi	Enshi		
CN::feilai-si	Feilai Si		
CN::fenghuang	Fenghuang	Fenghuang County	Fenghuang County
CN::foshan	Foshan		
CN::fuding	Fuding		
CN::furong	Furong		
CN::fuzhou	Fuzhou		
CN::guangzhou	Guangzhou		
CN::guilin	Guilin		
CN::guiyang	Guiyang		
CN::gyantse	Gyantse		
CN::haikou	Haikou		
CN::hangzhou	Hangzhou		
CN::harbin	Harbin		
CN::hemu	Hemu		
CN::hohhot	Hohhot		
CN::hong-kong	Hong Kong		
CN::hongcun	Hongcun		
CN::huangshan-montagne	Huangshan Montagne		
CN::huashan	Huashan		
CN::jianshui	Jianshui		
CN::jiayuguan	Jiayuguan	Jiayuguan	Jiayuguan
CN::jilin	Jilin		
CN::jinan	Jinan		
CN::jinghong	Jinghong		
CN::jiuzhaigou	Jiuzhaigou		
CN::kaifeng	Kaifeng		
CN::kaili	Kaili		
CN::kaiping	Kaiping		
CN::kanas	Kanas		
CN::kangding	Kangding		
CN::karakul	Karakul		
CN::karamay	Karamay		
CN::kashgar	Kashgar	Kashgar City	Kashgar City
CN::kunming	Kunming	Kunming	Kunming
CN::kuqa	Kuqa		
CN::langmusi	Langmusi		
CN::lanzhou	Lanzhou	Lanzhou	Lanzhou
CN::lhassa	Lhassa		
CN::lichuan	Lichuan		
CN::linyi	Linyi		
CN::litang	Litang		
CN::longji	Longji		
CN::longsheng	Longsheng		
CN::luoyang	Luoyang		
CN::markham	Markham		
CN::meizhou	Meizhou		
CN::menghai	Menghai		
CN::menghan	Menghan		
CN::mengla	Mengla		
CN::moxi	Moxi		
CN::nanjing	Nanjing		
CN::nanjing-tulou	Nanjing Tulou		
CN::ordos	Ordos		
CN::penglai	Penglai		
CN::pingtan	Pingtan		
CN::pingyao	Pingyao		
CN::putian	Putian		
CN::qiaoerma	Qiaoerma		
CN::qingdao	Qingdao		
CN::qinghai-lake	Qinghai Lake		
CN::quanzhou	Quanzhou		
CN::qufu	Qufu		
CN::riwa-yading	Riwa Yading		
CN::rongbuk-everest	Rongbuk Everest		
CN::sanjiang	Sanjiang		
CN::sanya	Sanya		
CN::sayram-lake	Sayram Lake		
CN::shanghai	Shanghai		
CN::shangri-la	Shangri La	Shangri-La	Shangri-La
CN::shantou	Shantou		
CN::shennongjia	Shennongjia		
CN::shenyang	Shenyang		
CN::shenzhen	Shenzhen		
CN::shigatse	Shigatse		
CN::shiyan	Shiyan		
CN::siguniangshan	Siguniangshan		
CN::songpan	Songpan		
CN::suzhou	Suzhou		
CN::tagong	Tagong		
CN::tai-an	Tai An		
CN::tashkurgan	Tashkurgan		
CN::tingri	Tingri		
CN::tonghua	Tonghua		
CN::tongli	Tongli		
CN::tongren-rebkong	Tongren Rebkong		
CN::tunxi	Tunxi		
CN::turpan	Turpan		
CN::urumqi	Urumqi	Ürümqi	Ürümqi
CN::vallee-ili	Vallee Ili		
CN::wanning	Wanning		
CN::weifang	Weifang		
CN::wenchang	Wenchang		
CN::wolong	Wolong		
CN::wudangshan	Wudangshan		
CN::wuhan	Wuhan		
CN::wuhu	Wuhu		
CN::wuyishan	Wuyishan		
CN::wuzhen	Wuzhen		
CN::wuzhishan	Wuzhishan		
CN::xiahe	Xiahe		
CN::xiamen	Xiamen		
CN::xian	Xian	Xian County	Xian County
CN::xiangcheng	Xiangcheng		
CN::xiangshawan	Xiangshawan		
CN::xiapu	Xiapu		
CN::xidi	Xidi		
CN::xijiang	Xijiang		
CN::xilamuren	Xilamuren		
CN::xinduqiao	Xinduqiao		
CN::xinglong	Xinglong		
CN::xining	Xining	Xining City	Xining City
CN::yabuli	Yabuli		
CN::yangshuo	Yangshuo	Yangshuo County	Yangshuo County
CN::yangtze-cruise	Yangtze Cruise		
CN::yangzhou	Yangzhou		
CN::yanjing	Yanjing		
CN::yantai	Yantai		
CN::yichang	Yichang		
CN::yinchuan	Yinchuan	Yinchuan City	Yinchuan City
CN::yining	Yining		
CN::yongding-tulou	Yongding Tulou		
CN::yuanyang	Yuanyang		
CN::yubeng	Yubeng		
CN::zhangjiajie	Zhangjiajie	Zhangjiajie	Zhangjiajie
CN::zhangye	Zhangye	Zhangye	Zhangye
CN::zhaoxing	Zhaoxing		
CN::zhengzhou	Zhengzhou		
CN::zhongwei	Zhongwei		
CN::zhouzhuang	Zhouzhuang		
CN::zoige	Zoige		
