# OneRoadTrip - Validation des noms de places

## Contexte
Je nettoie les noms et les place_id dans mon catalogue OneRoadTrip. Pour chaque ligne ci-dessous, donne-moi le bon nom à afficher selon ces règles strictes.

## Règle de langue
Pays "PL" → langue locale non lisible (alphabet non latin ou difficile à prononcer). Utilise l'anglais.

Si la langue locale a une orthographe latine acceptable (Bologna, München, Köln, Århus, etc.) → utilise-la.
Si la langue est non latine (grec, japonais, arabe, cyrillique, hébreu, thaï, etc.) → utilise l'anglais standard.

## Détection des doublons
Si deux place_id pointent visiblement vers la même ville (ex: "ES::barcelone" et "ES::barcelona", "FR::haroue" et "FR::haroué", "MU::trou-d-eau-douce" et "MU::trou-deau-douce"), marque l'un comme doublon de l'autre.

Le "gardé" est celui dont le slug est le plus correct (avec apostrophe, accent, orthographe locale). L'autre est marqué comme doublon de celui-ci.

## Colonne "choix" (IMPORTANT)
- **OK** : tu es sûr de la correction, elle peut être appliquée automatiquement
- **?** : cas douteux, l'utilisateur doit valider à la main

Mets **?** quand :
- confiance moyenne ou basse
- granularité bizarre (un quartier au lieu d'une ville, un village dans un parc, etc.)
- doublon possible mais pas évident
- la donnée Wikidata semble fausse (ex: "Cachi Department" pour la ville de Cachi)

Mets **OK** quand :
- changement orthographique simple et clair (Bologne → Bologna, Zell Am See → Zell am See)
- nom déjà correct, juste recopié
- doublon strict évident (haroue/haroué)

## Format de sortie OBLIGATOIRE
Réponds UNIQUEMENT avec un bloc TSV (tab-separated), sans explication avant ou après, sans markdown autour, sans backticks.

Colonnes (séparées par TAB, dans cet ordre) :
`place_id_actuel\tnom_corrige\tdoublon_de\tchoix\tconfiance\tcommentaire`

- **place_id_actuel** : recopier exactement ce qui est en entrée
- **nom_corrige** : le bon nom à afficher (si déjà correct, recopier le nom_actuel)
- **doublon_de** : si c'est un doublon, le place_id à garder. Sinon vide.
- **choix** : OK ou ?
- **confiance** : H, M ou L
- **commentaire** : court (max 80 caractères) si changement notable, sinon vide

## Données (pays PL)

place_id_actuel	nom_actuel	nom_anglais	nom_local
PL::bialowieza	Bialowieza	Bialowieza	Bialowieza
PL::bialystok	Bialystok		
PL::bydgoszcz	Bydgoszcz		
PL::czestochowa	Czestochowa	Częstochowa	Częstochowa
PL::dobrzyca	Dobrzyca		
PL::dziwnow	Dziwnow		
PL::gdansk	Gdansk		
PL::hel	Hel	Hel	Hel
PL::kazimierz-dolny	Kazimierz Dolny		
PL::kolobrzeg	Kolobrzeg		
PL::koszalin	Koszalin		
PL::krakow	Krakow		
PL::lancut	Lancut	Łańcut	Łańcut
PL::leba	Leba		
PL::lublin	Lublin		
PL::malbork	Malbork	Malbork	Malbork
PL::miedzyzdroje	Miedzyzdroje		
PL::oswiecim	Oswiecim	Oświęcim	Oświęcim
PL::plock	Plock		
PL::poznan	Poznan	Poznan	Poznan
PL::sanok	Sanok		
PL::sierakow-slawienski	Sierakow Slawienski		
PL::sopot	Sopot	Sopot	Sopot
PL::suprasl	Suprasl		
PL::swinoujscie	Swinoujscie		
PL::szczecin	Szczecin		
PL::torun	Torun	Toruń	Toruń
PL::warsaw	Warsaw		
PL::wroclaw	Wroclaw		
PL::zakopane	Zakopane		
PL::zalipie	Zalipie	Zalipie, Lesser Poland Voivodeship	Zalipie, Lesser Poland Voivodeship
PL::zamosc	Zamosc		
