AR::bariloche	San Carlos de Bariloche		?	M	Nom complet potentiellement plus approprié
AR::barreal	Barreal		OK	H	
AR::buenos-aires	Buenos Aires		OK	H	
AR::cachi	Cachi		?	L	Wikidata "Cachi Department" semble faux, probablement la ville
AR::cafayate	Cafayate		OK	H	
AR::el-calafate	El Calafate		OK	H	
AR::el-chalten	El Chaltén		OK	H	Accent manquant sur le e
AR::el-penon	El Peñón		OK	H	Tilde manquant sur le n
AR::humahuaca	Humahuaca		OK	H	
AR::iruya	Iruya		OK	H	
AR::ischigualasto	Ischigualasto		?	M	Parc ou ville? À vérifier
AR::malargue	Malargüe		OK	H	Tréma manquant sur le u
AR::mendoza	Mendoza		OK	H	
AR::peninsule-valdes	Península Valdés		OK	H	Accents manquants + orthographe espagnole
AR::puerto-iguazu	Puerto Iguazú		OK	H	Accent manquant sur le u
AR::puerto-madryn	Puerto Madryn		OK	H	
AR::purmamarca	Purmamarca		OK	H	
AR::salta	Salta		OK	H	
AR::san-rafael	San Rafael		OK	H	
AR::tolar-grande	Tolar Grande		OK	H	
AR::ushuaia	Ushuaia		OK	H	
AR::uspallata	Uspallata		OK	H	
AR::villa-union	Villa Unión		OK	H	Accent manquant sur le o
