AU::airlie-beach	Airlie Beach		OK	H	
AU::albany	Albany		OK	H	
AU::beagle-bay	Beagle Bay		OK	H	
AU::bell-gorge	Bell Gorge		OK	H	
AU::broome	Broome		OK	H	
AU::byron-bay	Byron Bay		OK	H	
AU::cairns	Cairns		OK	H	
AU::cape-leveque	Cape Leveque		OK	H	
AU::coral-bay	Coral Bay		OK	H	
AU::darwin	Darwin		OK	H	
AU::denmark	Denmark		OK	H	
AU::derby	Derby		OK	H	
AU::drysdale-river	Drysdale River		OK	H	
AU::echuca	Echuca		OK	H	
AU::el-questro	El Questro		OK	H	
AU::gold-coast	Gold Coast		OK	H	
AU::hervey-bay	Hervey Bay		OK	H	
AU::home-valley	Home Valley		OK	H	
AU::hunter-valley	Hunter Valley		OK	H	
AU::jabiru	Jabiru		OK	H	
AU::jervis-bay	Jervis Bay		OK	H	
AU::kakadu	Kakadu		OK	H	
AU::kununurra	Kununurra		OK	H	
AU::litchfield	Litchfield		OK	H	
AU::manning-gorge	Manning Gorge		OK	H	
AU::margaret-river	Margaret River		OK	H	
AU::melbourne	Melbourne		OK	H	
AU::mission-beach	Mission Beach		OK	H	
AU::mornington	Mornington		OK	H	
AU::mount-barker	Mount Barker		OK	H	
AU::mount-hart	Mount Hart		OK	H	
AU::murwillumbah	Murwillumbah		OK	H	
AU::noosa	Noosa		OK	H	
AU::palm-cove	Palm Cove		OK	H	
AU::pemberton	Pemberton		OK	H	
AU::perth	Perth		OK	H	
AU::port-campbell	Port Campbell		OK	H	
AU::rottnest-island	Rottnest Island		OK	H	
AU::sydney	Sydney		OK	H	
AU::townsville	Townsville		OK	H	
AU::walpole	Walpole		OK	H	
AU::windjana-gorge	Windjana Gorge		OK	H	
