CO::bogota	Bogotá		OK	H	Accent ajouté sur le a
CO::carthagene	Cartagena		OK	H	Anglais utilisé (alphabet latin acceptable)
CO::guatape	Guatapé		OK	H	Accent ajouté
CO::las-lajas	Las Lajas		OK	H	Déjà correct
CO::medellin	Medellín		OK	H	Accent ajouté sur le i
CO::minca	Minca		?	L	nom_anglais/nom_local = Munich (erreur Wikidata probable)
CO::palomino	Palomino		OK	H	Déjà correct
CO::popayan	Popayán		OK	H	Accent ajouté sur le a
CO::rincon-del-mar	Rincón del Mar		OK	H	Accents ajoutés
CO::salento	Salento		OK	H	Déjà correct
CO::san-agustin	San Agustín		OK	H	Accent ajouté sur le i
CO::tatacoa-desert	Tatacoa Desert		OK	H	Anglais (nom du désert)
CO::tierradentro	Tierradentro		?	M	Pas de nom_anglais/local fourni - à vérifier
