FR::abbeville	Abbeville		OK	H	
FR::abilly	Abilly		OK	H	
FR::agen	Agen		OK	H	
FR::aigues-mortes	Aigues-Mortes		OK	H	Correction trait d'union
FR::aigueze	Aiguèze		OK	H	Ajout accent grave
FR::aiguines	Aiguines		OK	H	
FR::ailhon	Ailhon		OK	H	
FR::ainhoa	Ainhoa		OK	H	
FR::airvault	Airvault		OK	H	
FR::aix-en-provence	Aix-en-Provence		OK	H	Correction trait d'union
FR::aix-les-bains	Aix-les-Bains		OK	H	
FR::aixe-sur-vienne	Aixe-sur-Vienne		OK	H	Correction trait d'union
FR::ajaccio	Ajaccio		OK	H	
FR::alba-la-romaine	Alba-la-Romaine		OK	H	Correction trait d'union
FR::albert	Albert		OK	H	
FR::albertville	Albertville		OK	H	
FR::albi	Albi		OK	H	
FR::alencon	Alençon		OK	H	Ajout cédille
FR::ales	Alès		OK	H	Ajout accent grave
FR::allegre	Allègre		OK	H	Ajout accent grave
FR::amberieu-en-bugey	Ambérieu-en-Bugey		OK	H	Ajout accent aigu
FR::ambert	Ambert		OK	H	
FR::ambleteuse	Ambleteuse		OK	H	
FR::amboise	Amboise		OK	H	
FR::amiens	Amiens		OK	H	
FR::amneville	Amnéville		OK	H	Ajout accent aigu
FR::ancy-le-franc	Ancy-le-Franc		OK	H	Correction trait d'union
FR::anduze	Anduze		OK	H	
FR::anet	Anet		OK	H	
FR::angers	Angers		OK	H	
FR::angles-sur-l-anglin	Angles-sur-l'Anglin		OK	H	Apostrophe
FR::angouleme	Angoulême		OK	H	Ajout accent circonflexe
FR::annecy	Annecy		OK	H	
FR::annot	Annot		OK	H	
FR::ansouis	Ansouis		OK	H	
FR::antibes	Antibes		OK	H	
FR::antony	Antony		OK	H	
FR::antraigues-sur-volane	Antraigues-sur-Volane		OK	H	Correction trait d'union
FR::arbois	Arbois		OK	H	
FR::arc-et-senans	Arc-et-Senans		OK	H	Correction trait d'union
FR::arcachon	Arcachon		OK	H	
FR::argentan	Argentan		OK	H	
FR::argentat-sur-dordogne	Argentat-sur-Dordogne		OK	H	Correction trait d'union
FR::argenton-sur-creuse	Argenton-sur-Creuse		OK	H	Correction trait d'union
FR::arlempdes	Arlempdes		OK	H	
FR::arles	Arles		OK	H	
FR::arpajon	Arpajon-sur-Cère		?	M	Nom local plus précis, vérifier si c'est bien cette commune
FR::arras	Arras		OK	H	
FR::arreau	Arreau		OK	H	
FR::arromanches-les-bains	Arromanches-les-Bains		OK	H	Correction trait d'union
FR::artemare	Artemare		OK	H	
FR::asnieres-sur-oise	Asnières-sur-Oise		OK	H	
FR::aubenas	Aubenas		OK	H	
FR::aubervilliers	Aubervilliers		OK	H	
FR::aubeterre-sur-dronne	Aubeterre-sur-Dronne		OK	H	Correction trait d'union
FR::aubigny-sur-nere	Aubigny-sur-Nère		OK	H	Correction trait d'union + accent
FR::aubusson	Aubusson		OK	H	
FR::auch	Auch		OK	H	
