HR::bale	Bale		?	M	Pas de nom anglais fourni, orthographe locale incertaine
HR::baska	Baška		OK	H	Alphabet latin, utilise l'orthographe locale
HR::bol	Bol		OK	H	Identique en anglais et local
HR::brijuni	Brijuni		?	M	Pas de nom anglais fourni, orthographe locale incertaine
HR::buzet	Buzet		?	M	Pas de nom anglais fourni, orthographe locale incertaine
HR::cakovec	Čakovec		?	M	Doit probablement avoir un diacritic (č)
HR::cres	Cres		OK	H	Identique en anglais et local
HR::dakovo	Đakovo		OK	H	Alphabet latin, utilise l'orthographe locale avec đ
HR::dubrovnik	Dubrovnik		OK	H	Nom bien connu, orthographe standard
HR::durdevac	Đurđevac		?	M	Doit probablement avoir un diacritic (đ)
HR::fazana	Fažana		OK	H	Alphabet latin, utilise l'orthographe locale
HR::gracisce	Gračišće		?	M	Doit probablement avoir des diacritics
HR::groznjan	Grožnjan		OK	H	Alphabet latin, utilise l'orthographe locale
HR::hlebine	Hlebine		?	M	Pas de nom anglais fourni, orthographe locale incertaine
HR::hum	Hum		?	M	Pas de nom anglais fourni, orthographe locale incertaine
HR::hvar	Hvar		OK	H	Nom bien connu, orthographe standard
HR::ilok	Ilok		OK	H	Identique en anglais et local
HR::karlovac	Karlovac		OK	H	Nom standard, orthographe acceptée
HR::kastela	Kaštela		?	M	Doit probablement avoir un diacritic (š)
HR::knin	Knin		OK	H	Nom standard, orthographe simple
HR::koprivnica	Koprivnica		OK	H	Nom standard, orthographe acceptée
HR::korcula	Korčula		?	M	Doit probablement avoir un diacritic (č)
HR::krapina	Krapina		OK	H	Nom standard, orthographe acceptée
HR::krk	Krk		OK	H	Nom bien connu, orthographe simple
HR::krka-inland	Krka		?	M	"Inland" semble être un ajout, granularité à vérifier
HR::kumrovec	Kumrovec		OK	H	Nom standard, orthographe acceptée
HR::labin	Labin		OK	H	Identique en anglais et local
HR::lastovo	Lastovo		OK	H	Nom standard, orthographe acceptée
HR::lopar	Lopar		?	M	Pas de nom anglais fourni, orthographe locale incertaine
HR::lupoglav	Lupoglav		?	M	Pas de nom anglais fourni, orthographe locale incertaine
HR::mali-losinj	Mali Lošinj		?	M	Doit probablement avoir un diacritic (š)
HR::mljet	Mljet		OK	H	Identique en anglais et local
HR::motovun	Motovun		OK	H	Identique en anglais et local
HR::nasice	Našice		?	M	Doit probablement avoir un diacritic (š)
HR::nin	Nin		OK	H	Identique en anglais et local
HR::novigrad	Novigrad		OK	H	Identique en anglais et local
HR::opatija	Opatija		OK	H	Identique en anglais et local
HR::osijek	Osijek		OK	H	Identique en anglais et local
HR::pag	Pag		OK	H	Nom bien connu, orthographe simple
HR::pazin	Pazin		?	M	Pas de nom anglais fourni, orthographe locale incertaine
HR::pican	Pićan		?	M	Doit probablement avoir un diacritic (ć)
HR::plitvice	Plitvice		?	L	"Plitvice street" semble être une erreur de données
HR::plomin	Plomin		?	M	Pas de nom anglais fourni, orthographe locale incertaine
HR::porec	Poreč		OK	H	Alphabet latin, utilise l'orthographe locale
HR::pozega	Požega		?	M	Doit probablement avoir un diacritic (ž)
HR::primosten	Primošten		OK	H	Alphabet latin, utilise l'orthographe locale
HR::pula	Pula		OK	H	Identique en anglais et local
HR::rab	Rab		OK	H	Nom bien connu, orthographe simple
HR::rabac	Rabac		?	M	Pas de nom anglais fourni, orthographe locale incertaine
HR::rijeka	Rijeka		OK	H	Nom bien connu, orthographe standard
HR::rovinj	Rovinj		OK	H	Identique en anglais et local
HR::samobor	Samobor		OK	H	Identique en anglais et local
HR::sibenik	Šibenik		OK	H	Alphabet latin, utilise l'orthographe locale
HR::sisak	Sisak		OK	H	Nom standard, orthographe acceptée
HR::skradin	Skradin		OK	H	Identique en anglais et local
HR::slavonski-brod	Slavonski Brod		OK	H	Nom standard, orthographe acceptée
HR::split	Split		OK	H	Nom bien connu, orthographe standard
HR::starigrad-paklenica	Starigrad-Paklenica		?	M	Granularité à vérifier (village ou parc national?)
HR::svetvincenat	Svetvinčenat		?	M	Doit probablement avoir un diacritic (č)
HR::trakoscan	Trakošćan		?	M	Doit probablement avoir des diacritics (š, ć)
HR::trogir	Trogir		OK	H	Identique en anglais et local
HR::umag	Umag		OK	H	Identique en anglais et local
HR::varazdin	Varaždin		?	M	Doit probablement avoir un diacritic (ž)
HR::veli-losinj	Veli Lošinj		?	M	Doit probablement avoir un diacritic (š)
HR::vis	Vis		OK	H	Nom bien connu, orthographe simple
HR::vodnjan	Vodnjan		?	M	Pas de nom anglais fourni, orthographe locale incertaine
HR::vrbnik	Vrbnik		OK	H	Identique en anglais et local
HR::vukovar	Vukovar		OK	H	Identique en anglais et local
HR::zadar	Zadar		OK	H	Identique en anglais et local
HR::zagreb	Zagreb		OK	H	Capitale bien connue, orthographe standard
HR::zminj	Žminj		?	M	Doit probablement avoir un diacritic (ž)
