HU::andrassy-avenue	Andrássy Avenue		OK	H	Nom propre hongrois avec accent standard
HU::balatonfured	Balatonfüred		OK	H	Utilise orthographe locale avec umlaut
HU::buda-castle	Buda Castle		OK	H	Nom anglais déjà correct
HU::budapest	Budapest		OK	H	Nom identique dans toutes les langues
HU::danube-cruise	Danube Cruise		?	M	Activité, pas un lieu précis
HU::eger	Eger		OK	H	Nom identique, déjà correct
HU::esztergom	Esztergom		OK	H	Nom identique, déjà correct
HU::fishermans-bastion	Fisherman's Bastion		OK	H	Ajout apostrophe manquante
HU::gellert-baths	Gellért Baths		OK	H	Ajout accent hongrois sur Gellért
HU::gellert-hill	Gellért Hill		OK	H	Ajout accent hongrois sur Gellért
HU::godollo	Gödöllő		OK	H	Utilise orthographe locale avec diacritiques
HU::great-market-hall	Great Market Hall		OK	H	Nom anglais déjà correct
HU::great-synagogue	Great Synagogue		OK	H	Nom anglais déjà correct
HU::heviz	Hévíz		OK	H	Utilise orthographe locale avec accents
HU::holloko	Hollókő		OK	H	Utilise orthographe locale avec diacritiques
HU::house-of-terror	House of Terror		OK	H	Correction capitalisation (of minuscule)
HU::jewish-quarter	Jewish Quarter		?	M	Quartier générique, pas lieu unique
HU::lillafured	Lillafüred		OK	H	Utilise orthographe locale avec umlaut
HU::margaret-island	Margaret Island		OK	H	Nom anglais déjà correct
HU::matthias-church	Matthias Church		OK	H	Nom anglais déjà correct
HU::memory-garden	Memory Garden		?	L	Lieu imprécis, vérifier quel jardin
HU::parliament	Hungarian Parliament Building		OK	H	Nom complet plus précis
HU::pecs	Pécs		OK	H	Utilise orthographe locale avec accent
HU::saint-stephen-basilica	St. Stephen's Basilica		OK	H	Forme standard avec apostrophe
HU::shoe-memorial	Shoes on the Danube Bank		OK	H	Nom officiel complet du mémorial
HU::siofok	Siófok		OK	H	Utilise orthographe locale avec accent
HU::sopron	Sopron		OK	H	Nom identique, déjà correct
HU::state-opera	Hungarian State Opera House		OK	H	Nom complet plus précis
HU::sumeg	Sümeg		OK	H	Utilise orthographe locale avec umlaut
HU::szechenyi-baths	Széchenyi Baths		OK	H	Ajout accent hongrois sur Széchenyi
HU::szentendre	Szentendre		OK	H	Nom identique, déjà correct
HU::tokaj	Tokaj		OK	H	Nom identique, déjà correct
HU::vajdahunyad-castle	Vajdahunyad Castle		OK	H	Nom déjà correct
HU::visegrad	Visegrád		OK	H	Utilise orthographe locale avec accent
