JP::abashiri	Abashiri		OK	H	
JP::asahidake-onsen	Asahidake Onsen		OK	H	
JP::asahikawa	Asahikawa		OK	H	
JP::ashikaga	Ashikaga		OK	H	
JP::aso	Aso		OK	H	
JP::beppu	Beppu		OK	H	
JP::biei	Biei		OK	H	
JP::chatan	Chatan		OK	H	
JP::chichibu	Chichibu		OK	H	
JP::daigo	Daigo		OK	H	
JP::fujinomiya	Fujinomiya		OK	H	
JP::fukaura	Fukaura		OK	H	
JP::fukuoka	Fukuoka		?	M	Wikidata renvoie "Fukuoka Prefecture" (préfecture, pas ville)
JP::furano	Furano		OK	H	
JP::futtsu	Futtsu		OK	H	
JP::ginzan-onsen	Ginzan Onsen		OK	H	
JP::hachimantai	Hachimantai		OK	H	
JP::hakodate	Hakodate		OK	H	
JP::hakone	Hakone		OK	H	
JP::hamada	Hamada		OK	H	
JP::hiraizumi	Hiraizumi		OK	H	
JP::hirosaki	Hirosaki		OK	H	
JP::hiroshima	Hiroshima		OK	H	
JP::hitachinaka	Hitachinaka		OK	H	
JP::hokuryu	Hokuryu		OK	H	
JP::inabe	Inabe		OK	H	
JP::ise	Ise		OK	H	
JP::ishigaki	Ishigaki		OK	H	
JP::itoman	Itoman		OK	H	
JP::itoshima	Itoshima		OK	H	
JP::iwaizumi	Iwaizumi		OK	H	
JP::iwakuni	Iwakuni		OK	H	
JP::izumo	Izumo		OK	H	
JP::kagoshima	Kagoshima		OK	H	
JP::kakunodate	Kakunodate		OK	H	
JP::kamakura	Kamakura		OK	H	
JP::kamikochi	Kamikochi		OK	H	
JP::kamishihoro	Kamishihoro		OK	H	
JP::kanazawa	Kanazawa		OK	H	
JP::kansai	Kansai		?	M	Kansai est une région, pas une ville
JP::karatsu	Karatsu		OK	H	
JP::kasama	Kasama		OK	H	
JP::kawaguchiko	Kawaguchiko		OK	H	
JP::kawanehon	Kawanehon		OK	H	
JP::kisarazu	Kisarazu		OK	H	
JP::kitakyushu	Kitakyushu		OK	H	
JP::kitakyushu-kawachi	Kitakyushu Kawachi		?	M	Quartier de Kitakyushu, granularité bizarre
JP::kumamoto	Kumamoto		OK	H	
JP::kurashiki	Kurashiki		OK	H	
JP::kurayoshi	Kurayoshi		OK	H	
JP::kushiro	Kushiro		OK	H	
JP::kyoto	Kyoto		OK	H	
JP::maebashi	Maebashi		OK	H	
JP::matsue	Matsue		OK	H	
JP::matsumoto	Matsumoto		OK	H	
JP::matsushima	Matsushima		OK	H	
JP::miharu	Miharu		OK	H	
JP::minamiizu	Minamiizu		OK	H	
JP::miyajima	Itsukushima		?	M	Itsukushima = nom officiel, mais Miyajima plus connu
JP::miyakojima	Miyakojima		OK	H	
JP::motobu	Motobu		OK	H	
JP::nabari	Nabari		OK	H	
JP::nagasaki	Nagasaki		OK	H	
JP::nagato	Nagato		OK	H	
JP::nago	Nago		OK	H	
JP::naha	Naha		OK	H	
JP::nakanojo	Nakanojo		OK	H	
JP::nanjo	Nanjo		OK	H	
JP::nara	Nara		OK	H	
JP::naruko-onsen	Naruko Onsen		OK	H	
JP::nikko	Nikko		OK	H	
JP::nunobiki-kogen	Nunobiki Kogen		OK	H	
JP::okayama	Okayama		OK	H	
JP::onna	Onna		OK	H	
JP::osaka	Osaka		OK	H	
JP::otaru	Otaru		OK	H	
JP::oze	Oze		OK	H	
JP::rebun	Rebun		OK	H	
JP::rishiri	Rishiri		OK	H	
JP::sakaiminato	Sakaiminato		OK	H	
JP::sapporo	Sapporo		OK	H	
JP::saroma	Saroma		OK	H	
JP::sasebo	Sasebo		OK	H	
JP::seki	Seki		OK	H	
JP::shakotan	Shakotan		OK	H	
JP::shima	Shima		OK	H	
JP::shirakawa-go	Shirakawa-go		OK	H	Trait d'union manquant corrigé
JP::shiretoko	Shiretoko		OK	H	
JP::sounkyo	Sounkyo		OK	H	
JP::tachikawa	Tachikawa		OK	H	
JP::tahara	Tahara		OK	H	
JP::takachiho	Takachiho		OK	H	
JP::takahashi	Takahashi		OK	H	
JP::takayama	Takayama		OK	H	
JP::tazawako	Tazawako		OK	H	
JP::teshikaga	Teshikaga		OK	H	
JP::tokyo	Tokyo		OK	H	
JP::tomamu	Tomamu		OK	H	
JP::tottori	Tottori		OK	H	
JP::towada	Towada		OK	H	
JP::toyonemura	Toyonemura		OK	H	
JP::toyota	Toyota		OK	H	
JP::tsushima	Tsushima		OK	H	
JP::tsuta-onsen	Tsuta Onsen		OK	H	
JP::urabandai	Urabandai		OK	H	
JP::uruma	Uruma		OK	H	
JP::wakkanai	Wakkanai		OK	H	
JP::yakushima	Yakushima		OK	H	
JP::yamaguchi	Yamaguchi		OK	H	
JP::yasugi	Yasugi		OK	H	
JP::yokohama	Yokohama		OK	H	
JP::yokohama-port	Yokohama Port		?	M	Quartier/zone portuaire, doublon potentiel avec yokohama
JP::yokote	Yokote		OK	H	
JP::yoro	Yoro		OK	H	
JP::zao-okama	Zao Okama		OK	H	
JP::zao-onsen	Zao Onsen		OK	H	
