NI::big-corn	Big Corn Island		?	M	Probablement même île que Little Corn, vérifier nom complet
NI::bluefields	Bluefields		OK	H	
NI::el-castillo	El Castillo		OK	H	
NI::esteli	Estelí		OK	H	Correction accent
NI::granada	Granada		OK	H	
NI::laguna-apoyo	Laguna de Apoyo		?	M	Nom complet probable, à vérifier
NI::las-penitas	Las Peñitas		OK	H	Correction accent
NI::leon	León		OK	H	Correction accent
NI::little-corn	Little Corn Island		OK	H	
NI::managua	Managua		OK	H	
NI::matagalpa	Matagalpa		?	L	Wikidata dit Department au lieu de ville, à vérifier granularité
NI::ometepe	Ometepe Island		OK	H	
NI::pearl-lagoon	Pearl Lagoon		OK	H	
NI::san-carlos	San Carlos		OK	H	
NI::san-juan-del-sur	San Juan del Sur		OK	H	Correction casse "del"
NI::solentiname	Solentiname Islands		?	M	Probablement archipel, vérifier nom complet
NI::somoto	Somoto		OK	H	
