PA::bocas-del-toro	Bocas del Toro		OK	H	Correction capitalisation
PA::boquete	Boquete District		?	M	Wikidata pointe vers district, pas ville
PA::chitre	Chitré		?	L	Pas de données Wikidata, manque accent probable
PA::el-valle-de-anton	El Valle de Antón		?	M	Correction capitalisation + accent manquant probable sur Antón
PA::panama	Panama City		?	M	Probablement la ville pas le pays
PA::pedasi	Pedasí		?	M	Accent manquant probable
PA::portobelo	Portobelo		OK	H	Nom déjà correct
PA::san-blas	Guna Yala		?	M	Nom officiel changé, ancien nom touristique encore utilisé
PA::santa-catalina	Santa Catalina		OK	H	Nom déjà correct
PA::santa-fe	Santa Fe		OK	H	Nom déjà correct
