```tsv
place_id_actuel	nom_corrige	doublon_de	choix	confiance	commentaire
BD::bandarban	Bandarban		OK	H	
BD::barisal	Barishal		OK	H	Orthographe anglaise standard (Division → ville)
BD::bogura	Bogura		OK	H	
BD::chattogram	Chattogram		OK	H	
BD::cox-bazar	Cox's Bazar		OK	H	Apostrophe manquante
BD::dhaka	Dhaka		OK	H	
BD::khulna	Khulna		OK	H	
BD::kushtia	Kushtia		OK	H	
BD::rajshahi	Rajshahi		OK	H	
BD::rangamati	Rangamati		OK	H	
BD::srimangal	Sreemangal		OK	H	Orthographe anglaise standard
BD::sundarbans-launch-overnight	Sundarbans Launch Overnight		?	M	Nom bizarre, probablement activité/transport pas lieu
BD::sylhet	Sylhet		OK	H	
```
