```tsv
place_id_actuel	nom_corrige	doublon_de	choix	confiance	commentaire
BG::ardino	Ardino			OK	H	nom déjà correct
BG::bansko	Bansko			OK	H	nom déjà correct
BG::batak-reservoir	Batak Reservoir			OK	H	nom déjà correct (site nature)
BG::belogradchik	Belogradchik			OK	H	nom déjà correct
BG::borovets	Borovets			OK	H	nom déjà correct
BG::devin	Devin			OK	H	nom déjà correct
BG::etar	Etar			OK	H	nom déjà correct (musée ethnographique)
BG::ivanovo	Ivanovo			OK	H	nom déjà correct
BG::kaliakra	Kaliakra			OK	H	nom déjà correct (cap/promontoire)
BG::kardzhali	Kardzhali			OK	H	nom déjà correct
BG::karlukovo	Karlukovo			OK	H	nom déjà correct
BG::kazanlak	Kazanlak			OK	H	nom déjà correct
BG::madara	Madara			OK	H	nom déjà correct (site UNESCO)
BG::melnik	Melnik			OK	H	nom déjà correct
BG::plovdiv	Plovdiv			OK	H	nom déjà correct
BG::rila-monastery	Rila Monastery			OK	H	nom déjà correct (monastère UNESCO)
BG::samokov	Samokov			OK	H	nom déjà correct
BG::sofia	Sofia			OK	H	nom déjà correct
BG::varna	Varna			OK	H	nom déjà correct
BG::veliko-tarnovo	Veliko Tarnovo			OK	H	nom déjà correct
BG::velingrad	Velingrad			OK	H	nom déjà correct
```
