```tsv
place_id_actuel	nom_corrige	doublon_de	choix	confiance	commentaire
BO::aguas-calientes	Aguas Calientes		?	M	"Quebrada" = ravin/ruisseau, vérifier si ville ou site naturel
BO::cochabamba	Cochabamba		OK	H	
BO::colchani	Colchani		OK	H	
BO::copacabana	Copacabana		OK	H	
BO::isla-del-sol	Isla del Sol		OK	H	Correction casse "Del" → "del"
BO::la-paz	La Paz		OK	H	
BO::laguna-colorada	Laguna Colorada		OK	H	
BO::potosi	Potosí		OK	H	Accent manquant + "Municipality" superflu retiré
BO::rurrenabaque	Rurrenabaque		OK	H	
BO::sajama	Sajama		?	M	Wikidata dit "Sajama Province", vérifier si ville ou parc
BO::samaipata	Samaipata		OK	H	
BO::santa-cruz-de-la-sierra	Santa Cruz de la Sierra		OK	H	Correction casse "De La" → "de la"
BO::santiago-de-chiquitos	Santiago de Chiquitos		OK	H	Correction casse "De" → "de"
BO::sucre	Sucre		OK	H	
BO::tarija	Tarija		OK	H	
BO::torotoro	Torotoro		OK	H	
BO::uyuni	Uyuni		OK	H	"Municipality" superflu retiré
```
