Je vais analyser chaque place pour le Brésil en appliquant la règle : puisque le portugais est lisible par un Européen, j'utilise systématiquement les noms locaux (avec accents).

```
place_id_actuel	nom_corrige	doublon_de	choix	confiance	commentaire
BR::alto-paraiso-de-goias	Alto Paraíso de Goiás			?	M	Manque données Wikidata, nom reconstruit
BR::angra-dos-reis	Angra dos Reis			OK	H	Minuscules corrigées
BR::aracaju	Aracaju			OK	H	Déjà correct
BR::atins	Atins			OK	H	Déjà correct
BR::barra-do-garcas	Barra do Garças			OK	H	Nom local appliqué
BR::barreirinhas	Barreirinhas			?	M	Manque données, nom reconstruit
BR::belo-horizonte	Belo Horizonte			OK	H	Déjà correct
BR::bonito	Bonito			OK	H	Déjà correct
BR::brasilia	Brasília			OK	H	Accent ajouté
BR::campo-grande	Campo Grande			OK	H	Déjà correct
BR::canoa-quebrada	Canoa Quebrada			?	M	Manque données, nom reconstruit
BR::canudos	Canudos			?	M	Manque données, nom reconstruit
BR::carolina	Carolina			?	M	Manque données, nom reconstruit
BR::cavalcante	Cavalcante			?	M	Manque données, nom reconstruit
BR::chapada-dos-guimaraes	Chapada dos Guimarães			?	M	Manque données, nom reconstruit
BR::coronel-jose-dias	Coronel José Dias			?	M	Manque données, nom reconstruit
BR::cristalino-lodge	Cristalino Lodge			?	L	Lodge, pas ville - granularité bizarre
BR::cuiaba	Cuiabá			OK	H	Nom local appliqué
BR::cunha	Cunha			OK	H	Déjà correct
BR::curimas-barroquinha	Curimas Barroquinha			?	L	Manque données, lieu inconnu
BR::curitiba	Curitiba			OK	H	Déjà correct
BR::diamantina	Diamantina			?	M	Manque données, nom reconstruit
BR::feira-de-santana	Feira de Santana			OK	H	Minuscules corrigées
BR::florianopolis	Florianópolis			OK	H	Nom local appliqué
BR::fortaleza	Fortaleza			OK	H	Déjà correct
BR::foz-do-iguacu	Foz do Iguaçu			OK	H	Nom local appliqué
BR::galinhos	Galinhos			OK	H	Déjà correct
BR::ilha-grande	Ilha Grande			OK	H	Déjà correct
BR::itacare	Itacaré			?	M	Manque données, accent probable
BR::jericoacoara	Jijoca de Jericoacoara			?	M	Ville officielle vs plage touristique
BR::lencois	Lençóis			?	M	Manque données, accent probable
BR::maceio	Maceió			?	M	Manque données, accent probable
BR::mateiros	Mateiros			?	M	Manque données, nom reconstruit
BR::moitas-amontada	Moitas Amontada			?	L	Manque données, lieu inconnu
BR::monte-santo	Monte Santo			?	M	Manque données, nom reconstruit
BR::mumbuca	Mumbuca			?	L	Manque données, lieu inconnu
BR::natal	Natal			OK	H	Déjà correct
BR::nobres-bom-jardim	Bom Jardim			?	L	Granularité bizarre - district vs ville
BR::oeiras	Oeiras			?	M	Manque données, nom reconstruit
BR::ouro-preto	Ouro Preto			OK	H	Déjà correct
BR::palmas	Palmas			?	M	Manque données, nom reconstruit
BR::pantanal-sul	Pantanal Sul			?	L	Région, pas ville - granularité bizarre
BR::paraty	Paraty			OK	H	Déjà correct
BR::paraty-centro-historico	Centro Histórico	BR::paraty	?	M	Quartier de Paraty - possible doublon
BR::parnaiba	Parnaíba			OK	H	Nom local appliqué
BR::paulo-afonso	Paulo Afonso			?	M	Manque données, nom reconstruit
BR::petropolis	Petrópolis			OK	H	Nom local appliqué
BR::pipa	Pipa			OK	H	Déjà correct
BR::pirenopolis	Pirenópolis			?	M	Manque données, accent probable
BR::pixaim-fazenda	Pixaim Fazenda			?	L	Fazenda, pas ville - granularité bizarre
BR::ponte-alta-do-tocantins	Ponte Alta do Tocantins			?	M	Manque données, nom reconstruit
BR::porto-de-galinhas	Porto de Galinhas			?	M	Plage vs ville - granularité à vérifier
BR::porto-jofre	Porto Jofre			?	L	Port/lodge, pas ville - granularité bizarre
BR::porto-seguro	Porto Seguro			OK	H	Déjà correct
BR::recife	Recife			OK	H	Déjà correct
BR::riachao	Riachão			?	M	Manque données, accent probable
BR::rio-de-janeiro-leme	Leme			?	M	Quartier de Rio - granularité bizarre
BR::salvador	Salvador			OK	H	Déjà correct
BR::sao-jorge-vila	São Jorge			?	M	Manque données, accent ajouté
BR::sao-luis	São Luís			OK	H	Nom local appliqué
BR::sao-miguel-do-gostoso	São Miguel do Gostoso			OK	H	Nom local appliqué
BR::sao-paulo	São Paulo			OK	H	Nom local appliqué
BR::sao-paulo-paulista	Avenida Paulista	BR::sao-paulo	?	M	Avenue de São Paulo - probable doublon
BR::sao-raimundo-nonato	São Raimundo Nonato			?	M	Manque données, nom reconstruit
BR::teresina	Teresina			OK	H	Déjà correct
BR::teresopolis	Teresópolis			OK	H	Nom local appliqué
BR::tiradentes	Tiradentes			?	M	Manque données, nom reconstruit
BR::tutoia	Tutóia			OK	H	Nom local appliqué
BR::ubajara	Ubajara			OK	H	Déjà correct
BR::vale-do-capao	Vale do Capão			?	M	Manque données, accent probable
BR::vale-do-pati	Vale do Pati			?	L	Vallée/trek, pas ville - granularité bizarre
BR::vicosa-do-ceara	Viçosa do Ceará			OK	H	Nom local appliqué
```
