```tsv
place_id_actuel	nom_corrige	doublon_de	choix	confiance	commentaire
CA::alma	Alma			OK	H	
CA::anse-saint-jean	Anse-Saint-Jean			OK	H	Hyphenation normalisée
CA::baddeck	Baddeck			OK	H	
CA::baie-saint-paul	Baie-Saint-Paul			OK	H	Hyphenation normalisée
CA::banff	Banff			OK	H	
CA::carleton-sur-mer	Carleton-sur-Mer			OK	H	Hyphenation normalisée
CA::cavendish	Cavendish			OK	H	
CA::charlottetown	Charlottetown			OK	H	
CA::cheticamp	Chéticamp			OK	H	Accent ajouté
CA::clearwater	Clearwater			OK	H	
CA::drumheller	Drumheller			OK	H	
CA::gaspe	Gaspé			OK	H	Accent ajouté
CA::halifax	Halifax			OK	H	
CA::ingonish	Ingonish			OK	H	
CA::jacques-cartier	Jacques-Cartier			?	M	Parc ou ville? À vérifier
CA::jasper	Jasper			OK	H	
CA::kelowna	Kelowna			OK	H	
CA::kenora	Kenora			OK	H	
CA::la-malbaie	La Malbaie			OK	H	
CA::la-tuque	La Tuque			OK	H	
CA::lake-louise	Lake Louise			OK	H	
CA::le-bic	Le Bic			OK	H	
CA::lunenburg	Lunenburg			OK	H	
CA::mauricie	Mauricie			?	M	Région ou ville? À vérifier granularité
CA::moncton	Moncton			OK	H	
CA::mont-tremblant	Mont-Tremblant			OK	H	Hyphenation normalisée
CA::montreal	Montreal			OK	H	
CA::niagara-falls	Niagara Falls			OK	H	
CA::north-bay	North Bay			OK	H	
CA::ottawa	Ottawa			OK	H	
CA::perce	Percé			OK	H	Accent ajouté
CA::peribonka	Péribonka			OK	H	Accent ajouté
CA::quebec	Quebec			OK	H	
CA::regina	Regina			OK	H	
CA::revelstoke	Revelstoke			OK	H	
CA::rimouski	Rimouski			OK	H	
CA::riviere-eternite	Rivière-Éternité			OK	H	Accents ajoutés
CA::saguenay	Saguenay			OK	H	
CA::saint-felicien	Saint-Félicien			OK	H	Accent + hyphenation
CA::saint-fulgence	Saint-Fulgence			OK	H	Hyphenation normalisée
CA::sainte-anne-des-monts	Sainte-Anne-des-Monts			OK	H	Hyphenation normalisée
CA::sault-ste-marie	Sault Ste. Marie			OK	H	Point ajouté
CA::shediac	Shediac			OK	H	
CA::tadoussac	Tadoussac			OK	H	
CA::thunder-bay	Thunder Bay			OK	H	
CA::tofino	Tofino			OK	H	
CA::toronto	Toronto			OK	H	
CA::vancouver	Vancouver			OK	H	
CA::victoria	Victoria			OK	H	
CA::wasagaming	Wasagaming			OK	H	
CA::waterton	Waterton Park			OK	H	Nom complet utilisé
CA::wawa	Wawa			OK	H	
CA::whistler	Whistler			OK	H	
CA::winnipeg	Winnipeg			OK	H	
CA::wolfville	Wolfville			OK	H	
```
