Je vais analyser chaque place pour la Suisse (CH) selon tes règles. Le suisse allemand et le français/italien étant en alphabet latin et facilement prononçables, j'utilise les noms locaux.

```
place_id_actuel	nom_corrige	doublon_de	choix	confiance	commentaire
CH::adelboden	Adelboden		OK	H	
CH::affoltern-emmental	Affoltern im Emmental		?	M	Nom officiel complet à vérifier
CH::appenzell	Appenzell		OK	H	
CH::ascona	Ascona		OK	H	
CH::basel	Basel		OK	H	
CH::bern	Bern		OK	H	
CH::bremgarten-aargau	Bremgarten		?	M	Suffixe Aargau superflu, mais à vérifier si doublon avec AG
CH::brienz	Brienz		OK	H	
CH::brig	Brig		OK	H	
CH::chur	Chur		OK	H	
CH::courtelary	Courtelary		OK	H	
CH::engelberg	Engelberg		OK	H	
CH::geneva	Geneva		OK	H	
CH::grindelwald	Grindelwald		OK	H	
CH::gruyeres	Gruyères		OK	H	Accent manquant
CH::gstaad	Gstaad		OK	H	
CH::ingenbohl	Ingenbohl		OK	H	
CH::interlaken	Interlaken		OK	H	
CH::jungfraujoch	Jungfraujoch		?	M	Site montagne, pas ville - granularité à vérifier
CH::kandersteg	Kandersteg		OK	H	
CH::lausanne	Lausanne		OK	H	
CH::lauterbrunnen	Lauterbrunnen		OK	H	
CH::lenk	Lenk im Simmental		?	M	Nom officiel complet à vérifier
CH::liestal	Liestal		OK	H	
CH::lucerne	Lucerne		OK	H	
CH::morcote	Morcote		OK	H	
CH::olten	Olten		OK	H	
CH::pilatus	Pilatus		?	L	Montagne, pas ville - granularité incorrecte probable
CH::pilatus-kulm	Pilatus Kulm		?	L	Station sommet, pas ville - doublon fonctionnel avec pilatus
CH::rheinfelden	Rheinfelden		OK	H	
CH::rigi	Rigi		?	M	Montagne, pas ville - granularité à vérifier
CH::saas-fee	Saas-Fee		OK	H	Orthographe avec trait d'union
CH::saint-ursanne	Saint-Ursanne		OK	H	
CH::schaffhausen	Schaffhausen		OK	H	
CH::schwyz	Schwyz		OK	H	
CH::soglio	Soglio		OK	H	
CH::solothurn	Solothurn		OK	H	
CH::thun	Thun		OK	H	
CH::vevey	Vevey		OK	H	
CH::wasserfallen	Wasserfallen		?	M	Site/station, pas ville - granularité à vérifier
CH::wengen	Wengen		OK	H	
CH::zermatt	Zermatt		OK	H	
CH::zurich	Zürich		OK	H	Umlaut manquant
```
