```tsv
place_id_actuel	nom_corrige	doublon_de	choix	confiance	commentaire
CU::camaguey	Camagüey		OK	H	Accent manquant sur le u
CU::cayo-guillermo	Cayo Guillermo		OK	H	Nom déjà correct
CU::cayo-las-brujas	Cayo Las Brujas		OK	H	Nom déjà correct
CU::cienfuegos	Cienfuegos		OK	H	Nom déjà correct
CU::jose-marti	José Martí		?	M	Probablement aéroport, pas une ville - vérifier granularité
CU::la-havane-vedado	Vedado		?	M	Quartier de La Havane, granularité à vérifier
CU::la-havane-vieja	Havana		OK	H	Centre historique = ville principale
CU::las-terrazas	Las Terrazas		OK	H	Nom déjà correct
CU::matanzas	Matanzas		OK	H	Nom déjà correct
CU::playa-giron	Playa Girón		OK	H	Accent manquant sur le o
CU::remedios	Remedios		OK	H	Nom déjà correct
CU::santa-clara	Santa Clara		OK	H	Nom déjà correct
CU::santiago-de-cuba	Santiago de Cuba		OK	H	Minuscule sur "de"
CU::trinidad	Trinidad		OK	H	Nom déjà correct
CU::varadero	Varadero		OK	H	Nom déjà correct
CU::vinales	Viñales		OK	H	Utilise orthographe locale avec ñ
```
