```tsv
place_id_actuel	nom_corrige	doublon_de	choix	confiance	commentaire
DE::augsbourg	Augsburg	DE::augsburg	OK	H	doublon, garder orthographe allemande
DE::augsburg	Augsburg		OK	H	
DE::bacharach	Bacharach		OK	H	
DE::bad-hersfeld	Bad Hersfeld		OK	H	
DE::bad-homburg	Bad Homburg vor der Höhe		OK	H	nom complet
DE::bad-koesen	Bad Kösen		OK	H	ajout umlaut
DE::bad-langensalza	Bad Langensalza		OK	H	
DE::baden-baden	Baden-Baden		OK	H	ajout trait d'union
DE::bamberg	Bamberg		OK	H	
DE::bastei	Bastei		OK	H	
DE::bautzen	Bautzen		OK	H	
DE::berchtesgaden	Berchtesgaden		OK	H	
DE::berlin	Berlin		OK	H	
DE::blaubeuren	Blaubeuren		OK	H	
DE::bremen	Bremen		OK	H	
DE::brocken	Brocken		OK	H	
DE::celle	Celle		OK	H	
DE::chemnitz	Chemnitz		OK	H	
DE::cochem	Cochem		OK	H	
DE::cologne	Köln		OK	H	nom allemand
DE::dahn	Dahn		OK	H	
DE::darmstadt	Darmstadt		OK	H	
DE::dessau	Dessau		OK	H	
DE::dinkelsbuehl	Dinkelsbühl		OK	H	ajout umlaut
DE::dresden	Dresden		OK	H	
DE::dusseldorf	Düsseldorf		OK	H	ajout umlaut
DE::east-frisian-islands	Ostfriesische Inseln		?	M	besoin validation nom allemand vs anglais
DE::eisenach	Eisenach		OK	H	
DE::emden	Emden		OK	H	
DE::erfurt	Erfurt		OK	H	
DE::esslingen	Esslingen		OK	H	
DE::frankfurt	Frankfurt		OK	H	
DE::freiburg	Freiburg		OK	H	
DE::freudenstadt	Freudenstadt		OK	H	
DE::fussen	Füssen		OK	H	ajout umlaut
DE::garmisch-partenkirchen	Garmisch-Partenkirchen		OK	H	ajout trait d'union
DE::gera	Gera		OK	H	
DE::goettingen	Göttingen		OK	H	ajout umlaut
DE::gorlitz	Görlitz		OK	H	ajout umlaut
DE::goslar	Goslar		OK	H	
DE::gutach	Gutach		OK	H	
DE::hainich	Hainich		OK	H	
DE::halberstadt	Halberstadt		OK	H	
DE::halle	Halle		OK	H	
DE::hamburg	Hamburg		OK	H	
DE::hamelin	Hameln	DE::hameln	OK	H	doublon, garder nom allemand
DE::hameln	Hameln		OK	H	
DE::hannover	Hannover		OK	H	
DE::harz	Harz		OK	H	
DE::hechingen	Hechingen		OK	H	
DE::heidelberg	Heidelberg		OK	H	
DE::hildesheim	Hildesheim		OK	H	
DE::hohenschwangau	Hohenschwangau		OK	H	
DE::hohenwarte	Hohenwarte		OK	H	
DE::jena	Jena		OK	H	
DE::kassel	Kassel		OK	H	
DE::kellerwald-edersee	Nationalpark Kellerwald-Edersee		OK	H	nom complet du parc
DE::kochel-am-see	Kochel am See		OK	H	minuscule pour am
DE::konigstein	Königstein		OK	H	ajout umlaut
