```tsv
place_id_actuel	nom_corrige	doublon_de	choix	confiance	commentaire
FI::helsinki	Helsinki		OK	H	
FI::joensuu	Joensuu		OK	H	
FI::koli	Koli		OK	H	
FI::kotka	Kotka		OK	H	
FI::kouvola	Kouvola		OK	H	
FI::lappeenranta	Lappeenranta		OK	H	
FI::lieksa	Lieksa		OK	H	
FI::mariehamn	Mariehamn		OK	H	
FI::mikkeli	Mikkeli		OK	H	
FI::naantali	Naantali		OK	H	
FI::nurmes	Nurmes		OK	H	
FI::pargas	Pargas		OK	H	
FI::porvoo	Porvoo		OK	H	
FI::rauma	Rauma		OK	H	
FI::rovaniemi	Rovaniemi		OK	H	
FI::savonlinna	Savonlinna		OK	H	
FI::sipoo	Sipoo		OK	H	
FI::turku	Turku		OK	H	
FI::vantaa	Vantaa		OK	H	
```
