```tsv
place_id_actuel	nom_corrige	doublon_de	choix	confiance	commentaire
FR::condom	Condom			OK	H	
FR::condrieu	Condrieu			OK	H	
FR::confolens	Confolens			OK	H	
FR::conques	Conques			OK	H	
FR::conques-en-rouergue	Conques-en-Rouergue			OK	H	
FR::contrexeville	Contrexéville			OK	H	accents manquants
FR::corbeil-essonnes	Corbeil-Essonnes			OK	H	
FR::corbie	Corbie			OK	H	
FR::corbigny	Corbigny			OK	H	
FR::cordes-sur-ciel	Cordes-sur-Ciel			OK	H	
FR::cormatin	Cormatin			OK	H	
FR::cornillon	Cornillon			OK	H	
FR::correncon-en-vercors	Corrençon-en-Vercors			OK	H	accents manquants
FR::correns	Correns			OK	H	
FR::corte	Corte			OK	H	
FR::cosne-cours-sur-loire	Cosne-Cours-sur-Loire			OK	H	
FR::cotignac	Cotignac			OK	H	
FR::coucy-le-chateau-auffrique	Coucy-le-Château-Auffrique			OK	H	accents manquants
FR::coulommiers	Coulommiers			OK	H	
FR::coulon	Coulon			OK	H	
FR::courances	Courances			OK	H	
FR::coutances	Coutances			OK	H	
FR::craon	Craon			OK	H	
FR::creil	Creil			OK	H	
FR::cremieu	Crémieu			OK	H	accent manquant
FR::crest	Crest			OK	H	
FR::creteil	Créteil			OK	H	accent manquant
FR::crozant	Crozant			OK	H	
FR::crozon	Crozon			OK	H	
FR::cruis	Cruis			OK	H	
FR::darney	Darney			OK	H	
FR::dauphin	Dauphin			OK	H	
FR::dax	Dax			OK	H	
FR::deauville	Deauville			OK	H	
FR::decize	Decize			OK	H	
FR::delle	Delle			OK	H	
FR::die	Die			OK	H	
FR::dieppe	Dieppe			OK	H	
FR::dieulefit	Dieulefit			OK	H	
FR::digne-les-bains	Digne-les-Bains			OK	H	
FR::dijon	Dijon			OK	H	
FR::dinan	Dinan			OK	H	
FR::dinard	Dinard			OK	H	
FR::disneyland-paris	Disneyland Paris			OK	H	
FR::dol-de-bretagne	Dol-de-Bretagne			OK	H	
FR::dole	Dole			OK	H	
FR::domfront	Domfront			OK	H	
FR::domme	Domme			OK	H	
FR::domremy-la-pucelle	Domrémy-la-Pucelle			OK	H	accents manquants
FR::douarnenez	Douarnenez			OK	H	
FR::dourdan	Dourdan			OK	H	
FR::dourgne	Dourgne			OK	H	
FR::draguignan	Draguignan			OK	H	
FR::drancy	Drancy			OK	H	
FR::dreux	Dreux			OK	H	
FR::dun-sur-auron	Dun-sur-Auron			OK	H	
FR::dun-sur-meuse	Dun-sur-Meuse			OK	H	
FR::duras	Duras			OK	H	
FR::ecouen	Écouen			OK	H	accent manquant
FR::eguilles	Éguilles			OK	H	accent manquant
FR::eguisheim	Eguisheim			OK	H	
FR::elne	Elne			OK	H	
FR::embrun	Embrun			OK	H	
FR::enghien-les-bains	Enghien-les-Bains			OK	H	
FR::entraygues-sur-truyere	Entraygues-sur-Truyère			OK	H	accents manquants
FR::entrecasteaux	Entrecasteaux			OK	H	
FR::entrevaux	Entrevaux			OK	H	
FR::epernay	Épernay			OK	H	accent manquant
FR::epinal	Épinal			OK	H	accent manquant
FR::ermenonville	Ermenonville			OK	H	
FR::espelette	Espelette			OK	H	
FR::esquelbecq	Esquelbecq			OK	H	
FR::essoyes	Essoyes			OK	H	
FR::estaing	Estaing			OK	H	
FR::etampes	Étampes			OK	H	accent manquant
FR::etanche	Abbaye de l'Étanche			?	M	nom local est "abbaye de l'Étanche", site religieux
FR::etival-clairefontaine	Étival-Clairefontaine			OK	H	accents manquants
FR::etretat	Étretat			OK	H	accent manquant
FR::eu	Eu			OK	H	
FR::evaux-les-bains	Évaux-les-Bains			OK	H	accents manquants
FR::evian-les-bains	Évian-les-Bains			OK	H	accents manquants
FR::evisa	Évisa			OK	H	accent manquant
FR::evreux	Évreux			OK	H	accents manquants
FR::evron	Évron			OK	H	accent manquant
FR::evry-courcouronnes	Évry-Courcouronnes			OK	H	accent manquant
FR::eygalieres	Eygalières			OK	H	accent manquant
FR::eyguieres	Eyguières			OK	H	accent manquant
FR::eyragues	Eyragues			OK	H	
FR::eze	Èze			OK	H	accent manquant
FR::falaise	Falaise			OK	H	
FR::fecamp	Fécamp			OK	H	accent manquant
FR::felletin	Felletin			OK	H	
FR::fere-en-tardenois	Fère-en-Tardenois			OK	H	accents manquants
FR::ferrette	Ferrette			OK	H	
FR::figeac	Figeac			OK	H	
FR::firminy	Firminy			OK	H	
FR::flavigny-sur-ozerain	Flavigny-sur-Ozerain			OK	H	
FR::fleurance	Fleurance			OK	H	
FR::fleurie	Fleurie			OK	H	
FR::florac	Florac			OK	H	
FR::foix	Foix			OK	H	
FR::fondation-louis-vuitton	Fondation Louis Vuitton			?	M	musée/site, pas une ville
FR::font-romeu	Font-Romeu-Odeillo-Via			OK	H	
FR::fontaine-de-vaucluse	Fontaine-de-Vaucluse			OK	H	
FR::fontainebleau	Fontainebleau			OK	H	
FR::fontenay-le-comte	Fontenay-le-Comte			OK	H	
FR::fontevraud-l-abbaye	Fontevraud-l'Abbaye			OK	H	
FR::fontvieille	Fontvieille			OK	H	
FR::forcalquier	Forcalquier			OK	H	
FR::forteresse-de-montbazon	Forteresse de Montbazon			?	M	château, pas une ville
FR::forteresse-royale-de-chinon	Forteresse royale de Chinon			?	M	château, pas une ville
FR::fougeres	Fougères			OK	H	accent manquant
FR::fougerolles	Fougerolles			OK	H	
FR::fources	Fourcès			OK	H	accent manquant
FR::fox-amphoux	Fox-Amphoux			OK	H	
FR::frejus	Fréjus			OK	H	accent manquant
FR::fresnay-sur-sarthe	Fresnay-sur-Sarthe			OK	H	
FR::fresnes	Fresnes			OK	H	
FR::fresselines	Fresselines			OK	H	
FR::gaillac	Gaillac			OK	H	
FR::galeria	Galeria			OK	H	
FR::gap	Gap			OK	H	
FR::gargilesse-dampierre	Gargilesse-Dampierre			OK	H	
FR::gavarnie	Gavarnie			OK	H	
FR::genets	Genets			OK	H	
FR::genos-loudenvielle	Lac de Génos-Loudenvielle			?	M	nom local "lac de", site naturel pas ville
FR::gerardmer	Gérardmer			OK	H	accents manquants
FR::gerberoy	Gerberoy			OK	H	
FR::gien	Gien			OK	H	
FR::gimel-les-cascades	Gimel-les-Cascades			OK	H	
FR::giromagny	Giromagny			OK	H	
FR::giverny	Giverny			OK	H	
FR::givet	Givet			OK	H	
FR::givry	Givry			OK	H	
FR::gordes	Gordes			OK	H	
FR::gorron	Gorron			OK	H	
FR::goudargues	Goudargues			OK	H	
FR::goult	Goult			OK	H	
FR::goumois	Goumois			OK	H	
FR::gourdon	Gourdon			OK	H	
FR::goury-cap-de-la-hague	Goury			?	M	hameau/cap, granularité à vérifier
FR::goussainville-vieux-pays	Goussainville			?	M	"vieux-pays" quartier, pas ville entière
FR::gouville-sur-mer	Gouville-sur-Mer			OK	H	
FR::grand-palais	Grand Palais			?	M	monument, pas une ville
FR::granville	Granville			OK	H	
FR::grasse	Grasse			OK	H	
FR::gravelines	Gravelines			OK	H	
FR::gray	Gray			OK	H	
FR::grenoble	Grenoble			OK	H	
FR::grignan	Grignan			OK	H	
FR::grimaud	Grimaud			OK	H	
FR::gruissan	Gruissan			OK	H	
FR::guebwiller	Guebwiller			OK	H	
FR::guerande	Guérande			OK	H	accent manquant
FR::gueret	Guéret			OK	H	accents manquants
FR::guillaumes	Guillaumes			OK	H	
FR::guillestre	Guillestre			OK	H	
FR::guingamp	Guingamp			OK	H	
FR::haguenau	Haguenau			OK	H	
FR::haroue	Haroué	FR::haroué	OK	H	doublon, accent manquant
FR::haroué	Haroué			OK	H	
FR::hartmannswillerkopf	Vieil Armand			?	M	nom local "Vieil Armand", site mémorial
FR::hattonchatel	Hattonchâtel			OK	H	accents manquants
FR::haut-koenigsbourg	Château du Haut-Kœnigsbourg			?	M	château, pas une ville
FR::hauteville-lompnes	Hauteville-Lompnes			OK	H	
FR::hautvillers	Hautvillers			OK	H	
FR::hennebont	Hennebont			OK	H	
FR::henrichemont	Henrichemont			OK	H	
FR::hericourt	Héricourt			OK	H	accent manquant
FR::herisson	Hérisson			OK	H	accent manquant
FR::hesdin	Hesdin			OK	H	
FR::honfleur	Honfleur			OK	H	
FR::hossegor	Soorts-Hossegor			OK	H	nom complet
FR::houdan	Houdan			OK	H	
FR::hunawihr	Hunawihr			OK	H	
FR::hunspach	Hunspach			OK	H	
FR::hyeres	Hyères			OK	H	accent manquant
FR::ile-rousse	L'Île-Rousse			OK	H	article manquant
FR::illiers-combray	Illiers-Combray			OK	H	
FR::issoire	Issoire			OK	H	
FR::issoudun	Issoudun			OK	H	
FR::jarnac	Jarnac			OK	H	
FR::joigny	Joigny			OK	H	
FR::joinville	Joinville			OK	H	
FR::joinville-le-pont	Joinville-le-Pont			OK	H	
FR::josselin	Josselin			OK	H	
FR::joyeuse	Joyeuse			OK	H	
FR::jublains	Jublains			OK	H	
FR::jujurieux	Jujurieux			OK	H	
FR::julienas	Juliénas			OK	H	accent manquant
FR::jumieges	Jumièges			OK	H	accent manquant
FR::jussey	Jussey			OK	H	
FR::kaysersberg	Kaysersberg			OK	H	
FR::l-aigle	L'Aigle			OK	H	
FR::l-arbresle	L'Arbresle			OK	H	
FR::l-epine	L'Épine			OK	H	
FR::l-hay-les-roses	L'Haÿ-les-Roses			OK	H	tréma manquant
FR::l-ile-d-ouessant	Ouessant			?	M	nom local mentionne "chaussée Keller", vérifier granularité
FR::l-ile-d-yeu	L'Île-d'Yeu			OK	H	
FR::l-isle-adam	L'Isle-Adam			OK	H	
FR::l-isle-jourdain	L'Isle-Jourdain			OK	H	
FR::l-isle-sur-la-sorgue	L'Isle-sur-la-Sorgue			OK	H	
FR::la-baule	La Baule-Escoublac			OK	H	nom complet
FR::la-borne	Borne			?	M	hameau artisanal, granularité à vérifier
FR::la-bourboule	La Bourboule			OK	H	
FR::la-bresse	La Bresse			OK	H	
FR::la-chaise-dieu	La Chaise-Dieu			OK	H	
FR::la-chapelle-en-vercors	La Chapelle-en-Vercors			OK	H	
FR::la-charite-sur-loire	La Charité-sur-Loire			OK	H	accents manquants
FR::la-chatre	La Châtre			OK	H	accent manquant
FR::la-ciotat	La Ciotat			OK	H	
FR::la-clusaz	La Clusaz			OK	H	
FR::la-colle-sur-loup	La Colle-sur-Loup			OK	H	
FR::la-courneuve	La Courneuve			OK	H	
FR::la-couvertoirade	La Couvertoirade			OK	H	
FR::la-defense	La Défense			?	M	quartier d'affaires, pas ville indépendante
FR::la-fleche	La Flèche			OK	H	accent manquant
FR::la-flotte	La Flotte			OK	H	
FR::la-grande-motte	La Grande-Motte			OK	H	
FR::la-malene	La Malène			OK	H	accent manquant
FR::la-palud-sur-verdon	La Palud-sur-Verdon			OK	H	
FR::la-petite-pierre	La Petite-Pierre			OK	H	
FR::la-reole	La Réole			OK	H	accent manquant
FR::la-roche-bernard	La Roche-Bernard			OK	H	
FR::la-roche-guyon	La Roche-Guyon			OK	H	
FR::la-roche-sur-yon	La Roche-sur-Yon			OK	H	
FR::la-rochefoucauld	La Rochefoucauld			OK	H	
FR::la-rochelle	La Rochelle			OK	H	
FR::la-rochepot	La Rochepot			OK	H	
FR::la-romieu	La Romieu			OK	H	
FR::la-roque-gageac	La Roque-Gageac			OK	H	
FR::la-roque-sur-ceze	La Roque-sur-Cèze			OK	H	accent manquant
FR::la-sone	La Sône			OK	H	accent manquant
FR::la-souterraine	La Souterraine			OK	H	
FR::labeaume	Labeaume			OK	H	
FR::labergement-sainte-marie	Labergement-Sainte-Marie			OK	H	
FR::lac-guerledan	Lac de Guerlédan			?	M	lac, site naturel pas ville
FR::lacaune	Lacaune			OK	H	
FR::lacoste	Lacoste			OK	H	
FR::lagrasse	Lagrasse			OK	H	
FR::laguiole	Laguiole			OK	H	
FR::lambesc	Lambesc			OK	H	
FR::langeais	Langeais			OK	H	
FR::langogne	Langogne			OK	H	
FR::langres	Langres			OK	H	
FR::lans-en-vercors	Lans-en-Vercors			OK	H	
FR::lantosque	Lantosque			OK	H	
FR::laon	Laon			OK	H	
FR::larressingle	Larressingle			OK	H	
FR::lassay-les-chateaux	Lassay-les-Châteaux			OK	H	accents manquants
FR::lastours	Lastours			OK	H	
FR::laudun-l-ardoise	Laudun-l'Ardoise			OK	H	
FR::lautrec	Lautrec			OK	H	
FR::lauzerte	Lauzerte			OK	H	
FR::laval	Laval			OK	H	
FR::lavaudieu	Lavaudieu			OK	H	
FR::lavaur	Lavaur			OK	H	
FR::lavoute-chilhac	Lavoûte-Chilhac			OK	H	accents manquants
FR::le-bec-hellouin	Le Bec-Hellouin			OK	H	
FR::le-castellet	Le Castellet			OK	H	
FR::le-cateau-cambresis	Le Cateau-Cambrésis			OK	H	accents manquants
FR::le-chambon-sur-lignon	Le Chambon-sur-Lignon			OK	H	
FR::le-croisic	Le Croisic			OK	H	
FR::le-crotoy	Le Crotoy			OK	H	
FR::le-frasnois	Le Frasnois			OK	H	
FR::le-havre	Le Havre			OK	H	
FR::le-mans	Le Mans			OK	H	
FR::le-mont-dore	Mont-Dore			OK	H	
FR::le-neubourg	Le Neubourg			OK	H	
FR::le-palais	Le Palais			OK	H	
FR::le-paradou	Paradou			OK	H	
FR::le-poet-laval	Le Poët-Laval			OK	H	accents manquants
FR::le-raincy	Le Raincy			OK	H	
FR::le-treport	Le Tréport			OK	H	accent manquant
FR::lectoure	Lectoure			OK	H	
FR::lens	Lens			OK	H	
FR::les-andelys	Les Andelys			OK	H	
FR::les-baux-de-provence	Les Baux-de-Provence			OK	H	
FR::les-epesses	Les Épesses			OK	H	accent manquant
FR::les-eyzies	Les Eyzies			OK	H	
FR::les-riceys	Les Riceys			OK	H	
FR::les-sables-d-olonne	Les Sables-d'Olonne			OK	H	
FR::les-salles-sur-verdon	Les Salles-sur-Verdon			OK	H	
FR::les-thons	Les Thons			OK	H	
FR::les-vans	Les Vans			OK	H	
FR::leucate	Leucate			OK	H	
FR::levens	Levens			OK	H	
FR::lille	Lille			OK	H	
FR::limoges	Limoges			OK	H	
FR::limoux	Limoux			OK	H	
FR::liverdun	Liverdun			OK	H	
FR::livry-gargan	Livry-Gargan			OK	H	
FR::loches	Loches			OK	H	
FR::locmariaquer	Locmariaquer			OK	H	
FR::locronan	Locronan			OK	H	
FR::lodeve	Lodève			OK	H	accent manquant
FR::longwy	Longwy			OK	H	
FR::lorient	Lorient			OK	H	
FR::loudun	Loudun			OK	H	
FR::louhans	Louhans			OK	H	
```
