```tsv
place_id_actuel	nom_corrige	doublon_de	choix	confiance	commentaire
GB::aberaeron	Aberaeron			OK	H	
GB::aberystwyth	Aberystwyth			OK	H	
GB::aldeburgh	Aldeburgh			OK	H	
GB::alnwick	Alnwick			OK	H	
GB::anglesey	Anglesey			OK	H	
GB::applecross	Applecross			OK	H	
GB::arrochar	Arrochar			OK	H	
GB::assynt	Assynt			OK	H	
GB::aviemore	Aviemore			OK	H	
GB::bakewell	Bakewell			?	M	Wikidata retourne "Bakewell CP" (civil parish)
GB::bamburgh	Bamburgh			OK	H	
GB::bath	Bath			OK	H	
GB::beverley	Beverley			OK	H	
GB::big-ben	Big Ben			OK	H	
GB::birmingham	Birmingham			OK	H	
GB::bodmin	Bodmin			OK	H	
GB::bournemouth	Bournemouth			OK	H	
GB::brecon	Brecon			OK	H	
GB::brighton	Brighton			OK	H	
GB::bristol	Bristol			OK	H	
GB::british-library	British Library			OK	H	
GB::british-museum	British Museum			OK	H	
GB::buckingham-palace	Buckingham Palace			OK	H	
GB::burnham-market	Burnham Market			OK	H	
GB::bury-st-edmunds	Bury St Edmunds			OK	H	
GB::buxton	Buxton			OK	H	
GB::caernarfon	Caernarfon			OK	H	
GB::cambridge	Cambridge			OK	H	
GB::camden	Camden			OK	H	
GB::canterbury	Canterbury			OK	H	
GB::carbost	Carbost			OK	H	
GB::cardiff	Cardiff			OK	H	
GB::castlebay	Castlebay			OK	H	
GB::castleton	Castleton			OK	H	
GB::christchurch	Christchurch			OK	H	
GB::conwy	Conwy			OK	H	
GB::corfe-castle	Corfe Castle			OK	H	
GB::courtauld-gallery	Courtauld Gallery			OK	H	
GB::covent-garden	Covent Garden			OK	H	
GB::coventry	Coventry			OK	H	
GB::cromarty	Cromarty			OK	H	
GB::deal	Deal			OK	H	
GB::dedham	Dedham			OK	H	
GB::design-museum	Design Museum			OK	H	
GB::dorchester	Dorchester			OK	H	
GB::dornoch	Dornoch			OK	H	
GB::dover	Dover			OK	H	
GB::drumnadrochit	Drumnadrochit			OK	H	
GB::durham	Durham			?	M	Wikidata retourne "County Durham" (comté, pas ville)
GB::durness	Durness			OK	H	
GB::edale	Edale			OK	H	
GB::edinburgh	Edinburgh			OK	H	
GB::ely	Ely			OK	H	
GB::exeter	Exeter			OK	H	
GB::filey	Filey			OK	H	
GB::fort-william	Fort William			OK	H	
GB::gairloch	Gairloch			OK	H	
GB::glasgow	Glasgow			OK	H	
GB::glencoe	Glencoe			OK	H	
GB::goathland	Goathland			OK	H	
GB::golspie	Golspie			OK	H	
GB::grantown-on-spey	Grantown-on-Spey			OK	H	Orthographe avec traits d'union
GB::harlech	Harlech			OK	H	
GB::hastings	Hastings			OK	H	
GB::hawes	Hawes			OK	H	
GB::haworth	Haworth			OK	H	
GB::hereford	Hereford			OK	H	
GB::holt	Holt			OK	H	
GB::hutton-le-hole	Hutton-le-Hole			OK	H	
GB::hyde-park	Hyde Park			OK	H	
GB::inveraray	Inveraray			OK	H	
GB::inverness	Inverness			OK	H	
GB::ipswich	Ipswich			OK	H	
GB::ironbridge	Ironbridge			OK	H	
GB::keswick	Keswick			OK	H	
GB::kings-lynn	King's Lynn			OK	H	Apostrophe manquante
GB::kingston-upon-hull	Kingston upon Hull			OK	H	Minuscule sur "upon"
GB::kirkwall	Kirkwall			OK	H	
GB::lavenham	Lavenham			OK	H	
GB::lealholm	Lealholm			OK	H	
GB::leeds	Leeds			OK	H	
GB::leicester	Leicester			OK	H	
GB::lincoln	Lincoln			OK	H	
GB::liverpool	Liverpool			OK	H	
GB::llandudno	Llandudno			OK	H	
GB::lochboisdale	Lochboisdale			OK	H	
GB::lochinver	Lochinver			OK	H	
GB::lochmaddy	Lochmaddy			OK	H	
GB::london	London			OK	H	
GB::london-eye	London Eye			OK	H	
GB::london-museum	London Museum			OK	H	
GB::london-reform-club	Reform Club			OK	H	Nom usuel sans "London"
GB::ludlow	Ludlow			OK	H	
GB::lybster	Lybster			OK	H	
GB::madame-tussauds	Madame Tussauds			OK	H	
GB::malham	Malham			OK	H	
GB::manchester	Manchester			OK	H	
GB::marazion	Marazion			OK	H	
GB::mevagissey	Mevagissey			OK	H	
GB::mumbles	Mumbles			OK	H	
GB::nairn	Nairn			OK	H	
GB::national-gallery	National Gallery			OK	H	
GB::national-maritime-museum	National Maritime Museum			OK	H	
GB::national-portrait-gallery	National Portrait Gallery			OK	H	
GB::natural-history-museum	Natural History Museum			OK	H	
GB::newcastle	Newcastle upon Tyne		GB::newcastle-upon-tyne	OK	H	Doublon détecté
GB::newcastle-upon-tyne	Newcastle upon Tyne			OK	H	
GB::newquay	Newquay			OK	H	
GB::norwich	Norwich			OK	H	
GB::notting-hill	Notting Hill			OK	H	
GB::nottingham	Nottingham			OK	H	
GB::oban	Oban			OK	H	
GB::oxford-street	Oxford Street			OK	H	
GB::padstow	Padstow			OK	H	
GB::penzance	Penzance			OK	H	
GB::piccadilly-circus	Piccadilly Circus			OK	H	
GB::pitlochry	Pitlochry			OK	H	
GB::plockton	Plockton			OK	H	
GB::plymouth	Plymouth			OK	H	
GB::poole	Poole			OK	H	
GB::port-isaac	Port Isaac			OK	H	
GB::porthleven	Porthleven			OK	H	
GB::portland	Portland			OK	H	
GB::portmeirion	Portmeirion			OK	H	
GB::portree	Portree			OK	H	
GB::regents-park	Regent's Park			OK	H	Apostrophe manquante
GB::rhossili	Rhossili			OK	H	
GB::richmond	Richmond			?	M	Wikidata = borough londonien, pas la ville de Richmond
GB::royal-academy-arts	Royal Academy of Arts			OK	H	"of" manquant
GB::rye	Rye			OK	H	
GB::saltburn-by-the	Saltburn-by-the-Sea			OK	H	Nom tronqué
GB::sandringham	Sandringham			OK	H	
GB::scarborough	Scarborough			OK	H	
GB::science-museum	Science Museum			OK	H	
GB::shrewsbury	Shrewsbury			OK	H	
GB::sir-john-soanes-museum	Sir John Soane's Museum			OK	H	Apostrophe manquante
GB::skipton	Skipton			OK	H	
GB::snowdonia	Snowdonia			OK	H	
GB::soho	Soho			OK	H	
GB::southwold	Southwold			OK	H	
GB::st-austell	St Austell			OK	H	
GB::st-davids	St Davids			OK	H	
GB::st-ives	St Ives			OK	H	
GB::st-katharine-docks	St Katharine Docks			OK	H	
GB::stornoway	Stornoway			OK	H	
GB::stow-on-the-wold	Stow-on-the-Wold			OK	H	Traits d'union
GB::stratford-upon-avon	Stratford-upon-Avon			OK	H	Traits d'union
GB::stromness	Stromness			OK	H	
GB::swanage	Swanage			OK	H	
GB::tarbert-harris	Tarbert			OK	H	
GB::tate-britain	Tate Britain			OK	H	
GB::tate-modern	Tate Modern			OK	H	
GB::tenby	Tenby			OK	H	
GB::the-shard	The Shard			OK	H	
GB::thornton-le-dale	Thornton-le-Dale			OK	H	Traits d'union
GB::thurso	Thurso			OK	H	
GB::tintagel	Tintagel			OK	H	
GB::tobermory	Tobermory			OK	H	
GB::tongue	Tongue			OK	H	
GB::torridon	Torridon			OK	H	
GB::tower-bridge	Tower Bridge			OK	H	
GB::tower-of-london	Tower of London			OK	H	Minuscule sur "of"
GB::trafalgar-square	Trafalgar Square			OK	H	
GB::truro	Truro			OK	H	
GB::tunbridge-wells	Royal Tunbridge Wells			OK	H	Nom officiel complet
GB::tywyn	Tywyn			OK	H	
GB::ullapool	Ullapool			OK	H	
GB::victoria-albert-museum	Victoria and Albert Museum			OK	H	"and" manquant
GB::wallace-collection	Wallace Collection			OK	H	
GB::warwick	Warwick			OK	H	
GB::wells-next-the	Wells-next-the-Sea			OK	H	Nom tronqué
GB::west-lulworth	West Lulworth			OK	H	
GB::westminster-abbey	Westminster Abbey			OK	H	
GB::weymouth	Weymouth			OK	H	
GB::whitby	Whitby			OK	H	
GB::whitstable	Whitstable			OK	H	
GB::wick	Wick			OK	H	
GB::winchester	Winchester			OK	H	
GB::windermere	Windermere			OK	H	
GB::wroxham	Wroxham			OK	H	
GB::york	York			OK	H	
```
