Je vais analyser chaque ligne selon les règles fournies. Pour la Grèce (GR), j'utilise l'anglais car le grec utilise un alphabet non latin.

```
place_id_actuel	nom_corrige	doublon_de	choix	confiance	commentaire
GR::agios-nikolaos	Agios Nikolaos		OK	H	
GR::agrinio	Agrinio		OK	H	
GR::akrotiri	Akrotiri		OK	H	
GR::alexandroupoli	Alexandroupolis		OK	H	nom anglais standard
GR::almopia-municipality	Almopia		?	M	municipality → simplifier, à vérifier
GR::alonissos	Alonissos		OK	H	
GR::amorgos-katapola	Katapola		OK	H	nom de la ville, pas de l'île
GR::amphipolis	Amfipoli		OK	H	nom anglais moderne
GR::antiparos	Antiparos		OK	H	
GR::arachova	Arachova		OK	H	
GR::areopoli	Areopoli		OK	H	
GR::argostoli	Argostoli		OK	H	
GR::astypalea	Astypalea		OK	H	
GR::athenes	Athens		OK	H	nom anglais standard
GR::chalcis	Chalkida		OK	H	nom anglais moderne
GR::chania	Chania		OK	H	
GR::corfou	Corfu		OK	H	nom anglais standard
GR::corinto	Corinth		OK	H	nom anglais standard
GR::delphes	Delphi		OK	H	nom anglais standard
GR::dikella	Dikella		OK	H	
GR::distomo	Distomo		OK	H	
GR::edessa	Edessa		OK	H	
GR::edipsos	Aidipsos		OK	H	nom anglais moderne
GR::elafonisi	Elafonisi		OK	H	
GR::elounda	Elounda		OK	H	
GR::epanomi	Epanomi		OK	H	
GR::epidaure	Epidaurus		OK	H	nom anglais standard
GR::epidauro	Epidaurus	GR::epidaure	OK	H	doublon espagnol/français de epidaure
GR::eretria	Eretria		OK	H	
GR::fira	Fira		OK	H	
GR::folegandros-agkali	Agkali		?	M	plage vs ville principale, à vérifier
GR::frangokastello	Frangokastello		OK	H	
GR::galaxidi	Galaxidi		OK	H	
GR::gerolimenas	Gerolimenas		OK	H	
GR::gytheio	Gytheio		OK	H	
GR::heraklion	Heraklion		OK	H	
GR::ierapetra	Ierapetra		OK	H	ville, pas municipality
GR::ioannina	Ioannina		OK	H	
GR::ios-mylopotas	Mylopotas		?	M	plage vs ville principale, à vérifier granularité
GR::iraklia-livadi	Livadi		?	M	village vs île, à vérifier granularité
GR::ithaque	Ithaca		OK	H	nom anglais standard
GR::kalamata	Kalamata		OK	H	ville, pas municipality
GR::kalambaka	Kalambaka		OK	H	
GR::kalamitsi	Kalamitsi		OK	H	
GR::kalavrita	Kalavryta		OK	H	nom anglais moderne
GR::kalymnos	Kalymnos		OK	H	
GR::kamari	Kamari		OK	H	
GR::karditsa	Karditsa		OK	H	
GR::karpathos	Karpathos		OK	H	
GR::karystos	Karystos		OK	H	
GR::kassandra	Kassandra		OK	H	
GR::kavala	Kavala		OK	H	
GR::kimolos-rema	Rema		?	M	plage vs ville, à vérifier granularité
GR::kissamos	Kissamos		OK	H	
GR::konitsa	Konitsa		OK	H	
GR::kos	Kos		OK	H	
GR::koufonisia-pori	Pori		?	M	plage vs île, à vérifier granularité
GR::kymi	Kymi		OK	H	
GR::kythnos-kolona	Ormos Kolona		?	M	plage vs ville, à vérifier granularité
GR::lassithi	Lasithi		?	M	regional unit vs plateau touristique
GR::leros	Leros		OK	H	île, pas municipality
GR::leucade	Lefkada		OK	H	nom anglais standard
GR::litochoro	Litochoro		OK	H	
GR::loutro	Loutro		OK	H	
GR::makrinitsa	Makrinitsa		OK	H	
GR::marathias	Marathias		OK	H	
GR::matala	Matala		OK	H	anglais sans accent
GR::messolonghi	Messolonghi		OK	H	
GR::methoni	Methoni		OK	H	
GR::milos-adamas	Adamas		OK	H	ville principale de Milos
GR::monemvasia	Monemvasia		OK	H	
GR::monodendri	Monodendri		OK	H	
GR::mykonos	Mykonos		OK	H	
GR::mystras	Mystras		OK	H	site archéologique
GR::naousa-paros	Naousa		OK	H	ville de Paros
GR::naupacte	Nafpaktos		OK	H	nom anglais moderne
GR::nauplie	Nafplio		OK	H	nom anglais moderne
GR::naxos	Naxos		OK	H	
GR::naxos-chora	Naxos	GR::naxos	OK	H	doublon: Chora = ville principale = Naxos
GR::nisyros	Nisyros		OK	H	
GR::oia	Oia		OK	H	
GR::olympie	Olympia		OK	H	nom anglais standard
GR::ouranoupoli	Ouranoupoli		OK	H	
GR::paleochora	Paleochora		OK	H	
GR::papigo	Papigo		OK	H	
GR::parikia-paros	Parikia		OK	H	ville principale, pas l'île entière
GR::paros	Paros	GR::parikia-paros	?	M	doublon possible? Parikia=capitale de Paros
GR::patmos	Patmos		OK	H	
GR::patras	Patras		OK	H	
GR::paxos	Paxos		OK	H	
GR::plakias	Plakias		OK	H	
GR::possidi	Poseidi		OK	H	nom anglais moderne
GR::preveza	Preveza		OK	H	
GR::pylos	Pylos		OK	H	
GR::pyrgos	Pyrgos		OK	H	ville, pas municipality
GR::rethymnon	Rethymno		OK	H	nom anglais moderne
GR::rhodes	Rhodes		OK	H	
GR::riza-beach	Riza		?	M	beach à supprimer, mais vérifier si = Ierapetra
GR::sami	Sami		OK	H	
GR::santorin	Santorini		OK	H	nom anglais standard
GR::santorini-vlychada	Vlychada	GR::santorin	?	M	plage de Santorin, possiblement granularité excessive
GR::schinoussa-tsigouri	Tsigouri		?	M	plage vs île, à vérifier granularité
GR::serifos-megalo-livadi	Megalo Livadi		?	M	village vs île, à vérifier granularité
GR::sifnos-platys-gialos	Platys Gialos		?	M	village/plage de Sifnos, granularité à vérifier
GR::sifnos-vathy	Vathy		?	M	village de Sifnos, granularité à vérifier
GR::sikinos-alopronia	Alopronia		?	M	port vs île, à vérifier granularité
GR::sitia	Sitia		OK	H	
GR::skiathos	Skiathos		OK	H	
GR::skopelos	Skopelos		OK	H	
GR::sounion	Cape Sounion		OK	H	nom anglais du site
GR::sparte	Sparta		OK	H	nom anglais standard
GR::symi	Symi		OK	H	
GR::thasos	Thasos		OK	H	
GR::thebes	Thebes		OK	H	nom anglais standard
GR::thessalonique	Thessaloniki		OK	H	nom anglais standard
GR::tolo	Tolo		OK	H	
GR::trikala	Trikala		OK	H	
GR::tripoli	Tripoli		OK	H	
GR::vassiliki	Vasiliki		OK	H	orthographe anglaise moderne
GR::vergina	Vergina		OK	H	
GR::volos	Volos		OK	H	
GR::xanthi	Xanthi		OK	H	
GR::zakynthos	Zakynthos		OK	H	
```
