```tsv
place_id_actuel	nom_corrige	doublon_de	choix	confiance	commentaire
IT::abano-terme	Abano Terme			OK	H	
IT::acquapendente	Acquapendente			OK	H	
IT::agnone	Agnone			OK	H	
IT::agrigento	Agrigento			OK	H	
IT::agropoli	Agropoli			OK	H	
IT::alatri	Alatri			OK	H	
IT::alba	Alba			OK	H	
IT::alberobello	Alberobello			OK	H	
IT::alghero	Alghero			OK	H	
IT::aliano	Aliano			OK	H	
IT::alicudi	Alicudi			OK	H	
IT::altamura	Altamura			OK	H	
IT::amalfi	Amalfi			OK	H	
IT::amantea	Amantea			OK	H	
IT::anacapri	Anacapri			OK	H	
IT::anagni	Anagni			OK	H	
IT::angera	Angera			OK	H	
IT::anghiari	Anghiari			OK	H	
IT::anversa-degli-abruzzi	Anversa degli Abruzzi			OK	H	capitalisation standard
IT::aoste	Aosta			?	M	probablement Aosta (Valle d'Aosta), à vérifier
IT::aquileia	Aquileia			OK	H	
IT::arezzo	Arezzo			?	M	nom_anglais/local = province, pas ville
IT::ariano-irpino	Ariano Irpino			OK	H	
IT::arpino	Arpino			OK	H	
IT::arqua-petrarca	Arquà Petrarca			OK	H	accent manquant dans place_id
IT::arsoli	Arsoli			OK	H	
IT::artimino	Artimino			OK	H	
IT::asciano	Asciano			OK	H	
IT::ascoli-piceno	Ascoli Piceno			OK	H	
IT::asiago	Asiago			OK	H	
IT::asolo	Asolo			OK	H	
IT::asti	Asti			OK	H	
IT::atina	Atina			OK	H	
IT::avellino	Avellino			?	M	nom_anglais/local = province, pas ville
IT::bagni-di-lucca	Bagni di Lucca			OK	H	capitalisation standard
IT::barberino-val-elsa	Barberino Val d'Elsa			?	M	apostrophe probable dans Val d'Elsa
IT::bardi	Bardi			OK	H	
IT::barga	Barga			OK	H	
IT::bari	Bari			OK	H	
IT::barolo	Barolo			OK	H	
IT::barumini	Barumini			OK	H	
IT::bassano-del-grappa	Bassano del Grappa			OK	H	
IT::baunei	Baunei			OK	H	
IT::bellagio	Bellagio			OK	H	
IT::benevento	Benevento			OK	H	
IT::bentivoglio	Bentivoglio			OK	H	
IT::bergamo	Bergamo			OK	H	
IT::bettona	Bettona			OK	H	
IT::bevagna	Bevagna			OK	H	
IT::bibbiena	Bibbiena			OK	H	
IT::biella	Biella			OK	H	
IT::bienno	Bienno			OK	H	
IT::bojano	Bojano			OK	H	
IT::bologna	Bologna			OK	H	
IT::bologne	Bologna		IT::bologna	OK	H	doublon français/italien
IT::bolsena	Bolsena			OK	H	
IT::bolzano	Bolzano			OK	H	
IT::bomarzo	Bomarzo			OK	H	
IT::borgo-a-mozzano	Borgo a Mozzano			OK	H	capitalisation standard
IT::borgo-san-lorenzo	Borgo San Lorenzo			OK	H	
IT::bormio	Bormio			OK	H	
IT::bosa	Bosa			OK	H	
IT::bovino	Bovino			OK	H	
IT::bracciano	Bracciano			OK	H	
IT::brescia	Brescia			OK	H	
IT::breuil-cervinia	Breuil-Cervinia			OK	H	
IT::brindisi	Brindisi			OK	H	
IT::brisighella	Brisighella			OK	H	
IT::buggiano-castello	Buggiano Castello			OK	H	
IT::buonconvento	Buonconvento			OK	H	
IT::cagliari	Cagliari			OK	H	
IT::cala-gonone	Cala Gonone			OK	H	
IT::calcata	Calcata			OK	H	
IT::calci	Calci			OK	H	
IT::calitri	Calitri			OK	H	
IT::camaiore	Camaiore			OK	H	
IT::camaldoli	Camaldoli			OK	H	
IT::camigliatello-silano	Camigliatello Silano			OK	H	
IT::camogli	Camogli			OK	H	
IT::campli	Campli			OK	H	
IT::campobasso	Campobasso			OK	H	
IT::campodimele	Campodimele			OK	H	
IT::capalbio	Capalbio			OK	H	
IT::capannoli	Capannoli			OK	H	
IT::caprarola	Caprarola			OK	H	
IT::caraglio	Caraglio			OK	H	
IT::caramanico-terme	Caramanico Terme			OK	H	
IT::carmignano	Carmignano			OK	H	
IT::carovigno	Carovigno			OK	H	
IT::carpineto-romano	Carpineto Romano			OK	H	
IT::carrara	Carrara			OK	H	
IT::casale-monferrato	Casale Monferrato			OK	H	
IT::caserta	Caserta			OK	H	
IT::casole-elsa	Casole d'Elsa			?	M	probablement d'Elsa
IT::cassino	Cassino			OK	H	
IT::castagnole-delle-lanze	Castagnole delle Lanze			OK	H	capitalisation standard
IT::castel-del-monte	Castel del Monte			OK	H	capitalisation standard
IT::castel-del-rio	Castel del Rio			OK	H	capitalisation standard
IT::castel-di-tora	Castel di Tora			OK	H	capitalisation standard
IT::castel-gandolfo	Castel Gandolfo			OK	H	
IT::castel-san-vincenzo	Castel San Vincenzo			OK	H	
IT::castelfranco-di-sotto	Castelfranco di Sotto			OK	H	capitalisation standard
IT::castelfranco-veneto	Castelfranco Veneto			OK	H	
IT::castell-arquato	Castell'Arquato			OK	H	apostrophe manquante dans place_id
IT::castellaro-lagusello	Castellaro Lagusello			OK	H	
IT::castelli	Castelli			OK	H	
IT::castellina-in-chianti	Castellina in Chianti			OK	H	capitalisation standard
IT::castelluccio-di-norcia	Castelluccio di Norcia			OK	H	capitalisation standard
IT::castelmezzano	Castelmezzano			OK	H	
IT::castelnuovo-garfagnana	Castelnuovo di Garfagnana			?	M	nom_local = gare, probablement ville = di Garfagnana
IT::castelsardo	Castelsardo			OK	H	
IT::castiglion-fiorentino	Castiglion Fiorentino			OK	H	
IT::castiglione-del-lago	Castiglione del Lago			OK	H	capitalisation standard
IT::castro-dei-volsci	Castro dei Volsci			OK	H	capitalisation standard
IT::castro-marina	Castro Marina			OK	H	
IT::catania	Catania			OK	H	
IT::catanzaro-lido	Catanzaro Lido			OK	H	
IT::cefalu	Cefalù			OK	H	accent manquant dans place_id
IT::cella-monte	Cella Monte			OK	H	
IT::certaldo	Certaldo			OK	H	
IT::cerveteri	Cerveteri			OK	H	
IT::cesenatico	Cesenatico			OK	H	
IT::cetona	Cetona			OK	H	
IT::champoluc	Champoluc			OK	H	
IT::chatillon	Châtillon			?	M	probablement Châtillon (Val d'Aoste)
IT::chianale	Chianale			OK	H	
IT::chianni	Chianni			OK	H	
IT::chianti	Chianti			OK	H	
IT::chieti	Chieti			OK	H	
IT::chioggia	Chioggia			OK	H	
IT::cilento-coast	Costiera Cilentana			OK	H	nom local préféré
IT::cingoli	Cingoli			OK	H	
IT::cinque-terre	Cinque Terre			OK	H	
IT::citta-sant-angelo	Città Sant'Angelo			OK	H	accent + apostrophe manquants dans place_id
IT::cittadella	Cittadella			OK	H	
IT::civita-di-bagnoregio	Civita di Bagnoregio			OK	H	
IT::civitella-del-tronto	Civitella del Tronto			OK	H	
IT::clauzetto	Clauzetto			OK	H	
IT::cocconato	Cocconato			OK	H	
IT::cogne	Cogne			OK	H	
IT::colle-val-elsa	Colle Val d'Elsa			?	M	probablement d'Elsa
IT::collepardo	Collepardo			OK	H	
IT::collodi	Collodi			OK	H	
IT::colorno	Colorno			OK	H	
