```tsv
place_id_actuel	nom_corrige	doublon_de	choix	confiance	commentaire
LA::ban-hatsa	Ban Hatsa		OK	H	
LA::ban-yo	Ban Yo		OK	H	
LA::champasak	Champasak		OK	H	
LA::don-det	Don Det		OK	H	
LA::huay-xai	Huay Xai		OK	H	
LA::luang-namtha	Luang Namtha		OK	H	
LA::luang-prabang	Luang Prabang		OK	H	
LA::muang-khua	Muang Khua		?	M	Wikidata renvoie "Khoua District" (admin) vs ville Muang Khua
LA::muang-sing	Muang Sing		OK	H	
LA::nam-ha	Nam Ha		OK	H	
LA::nam-kan	Nam Kan		OK	H	
LA::nong-khiaw	Nong Khiaw		?	M	Wikidata renvoie "Nongkhiao-Tai" (granularité à vérifier)
LA::pakbeng	Pakbeng		?	M	Wikidata renvoie "Pak Beng District" (admin) vs ville Pakbeng
LA::pakse	Pakse		OK	H	
LA::phongsali	Phongsali		OK	H	
LA::phongsali::trek	Trek		OK	H	
LA::phonsavan	Phonsavan		OK	H	
LA::sam-neua	Sam Neua		OK	H	
LA::tad-lo	Tad Lo		OK	H	
LA::vang-vieng	Vang Vieng		OK	H	
LA::vientiane	Vientiane		OK	H	
```
