```tsv
place_id_actuel	nom_corrige	doublon_de	choix	confiance	commentaire
ME::biogradska-gora	Biogradska Gora		OK	H	
ME::budva	Budva		OK	H	
ME::cetinje	Cetinje		OK	H	
ME::durmitor	Durmitor		OK	H	
ME::kotor	Kotor		OK	H	
ME::lovcen	Lovćen		?	M	Nom local utilise caractère spécial ć - à vérifier
ME::meandri-cehotine	Meandri Cehotine		?	L	Nom peu clair - vérifier granularité (site/nature?)
ME::perast	Perast		OK	H	
ME::porto-montenegro	Porto Montenegro		OK	H	
ME::skadar-lake	Lake Skadar		OK	H	Ordre standard anglais : Lake + nom
ME::sveti-stefan	Sveti Stefan		OK	H	
ME::tara-canyon	Tara Canyon		OK	H	
```
