```tsv
place_id_actuel	nom_corrige	doublon_de	choix	confiance	commentaire
NA::aus	Aus		OK	H	
NA::caprivi	Caprivi		?	M	Région/bande, pas une ville précise
NA::etosha-est	Etosha East		OK	H	Traduction anglaise standard
NA::etosha-sud	Etosha South		OK	H	Traduction anglaise standard
NA::halali	Halali		OK	H	Camp dans Etosha NP
NA::mariental	Mariental		OK	H	
NA::namutoni	Namutoni		OK	H	Camp dans Etosha NP
NA::okaukuejo	Okaukuejo		OK	H	Camp dans Etosha NP
NA::rundu	Rundu		OK	H	
NA::sesriem	Sesriem		OK	H	Porte du Sossusvlei
NA::spitzkoppe	Spitzkoppe		OK	H	Formation rocheuse
NA::swakopmund	Swakopmund		OK	H	
NA::twyfelfontein	Twyfelfontein		OK	H	Site archéologique
NA::waterberg	Waterberg		?	M	Plateau ou parc, pas une ville
NA::windhoek	Windhoek		OK	H	
```
