```tsv
place_id_actuel	nom_corrige	doublon_de	choix	confiance	commentaire
NL::alkmaar	Alkmaar		OK	H	
NL::amsterdam	Amsterdam		OK	H	
NL::bergen-aan-zee	Bergen aan Zee		OK	H	Capitalisation NL standard
NL::broek-in-waterland	Broek in Waterland		OK	H	Capitalisation NL standard
NL::delft	Delft		OK	H	
NL::den-bosch	's-Hertogenbosch		?	M	Den Bosch = surnom de 's-Hertogenbosch
NL::den-haag	Den Haag		OK	H	
NL::den-helder	Den Helder		OK	H	
NL::eindhoven	Eindhoven		OK	H	
NL::elburg	Elburg		OK	H	
NL::giethoorn	Giethoorn		OK	H	
NL::haarlem	Haarlem		OK	H	
NL::hindeloopen	Hindeloopen		OK	H	
NL::kaatsheuvel	Kaatsheuvel		OK	H	
NL::kinderdijk	Kinderdijk		OK	H	
NL::leeuwarden	Leeuwarden		OK	H	
NL::lisse	Lisse		OK	H	
NL::maastricht	Maastricht		OK	H	
NL::middelburg	Middelburg		OK	H	
NL::noordoostpolder	Noordoostpolder		?	M	Polder entier vs ville spécifique?
NL::rotterdam	Rotterdam		OK	H	
NL::schiermonnikoog	Schiermonnikoog		OK	H	
NL::texel	Texel		OK	H	
NL::urk	Urk		OK	H	
NL::utrecht	Utrecht		OK	H	
NL::volendam	Volendam		OK	H	
```
