```tsv
place_id_actuel	nom_corrige	doublon_de	choix	confiance	commentaire
NZ::auckland	Auckland		OK	H	
NZ::christchurch	Christchurch		OK	H	
NZ::dunedin	Dunedin		OK	H	
NZ::franz-josef	Franz Josef		OK	H	
NZ::gisborne	Gisborne		OK	H	
NZ::hahei	Hahei		OK	H	
NZ::kaikoura	Kaikoura		OK	H	
NZ::kaitaia	Kaitaia		OK	H	
NZ::karamea	Karamea		OK	H	
NZ::lake-tekapo	Lake Tekapo		OK	H	
NZ::marahau	Marahau		OK	H	
NZ::mount-cook	Mount Cook		OK	H	
NZ::napier	Napier		OK	H	
NZ::national-park	National Park		?	M	Nom trop générique, besoin contexte
NZ::nelson	Nelson		OK	H	
NZ::new-plymouth	New Plymouth		OK	H	
NZ::oamaru	Oamaru		OK	H	
NZ::owaka	Owaka		OK	H	
NZ::paihia	Paihia		OK	H	
NZ::picton	Picton		OK	H	
NZ::punakaiki	Punakaiki		OK	H	
NZ::queenstown	Queenstown		OK	H	
NZ::rotorua	Rotorua		OK	H	
NZ::takaka	Takaka		OK	H	
NZ::taupo	Taupō		OK	H	Macron en local (Taupō)
NZ::te-anau	Te Anau		OK	H	
NZ::tolaga-bay	Tolaga Bay		OK	H	
NZ::waiheke-island	Waiheke Island		OK	H	
NZ::waitomo	Waitomo		OK	H	
NZ::wanaka	Wānaka		OK	H	Macron en local (Wānaka)
NZ::wellington	Wellington		OK	H	
NZ::whangamomona	Whangamomona		OK	H	
```
