```tsv
place_id_actuel	nom_corrige	doublon_de	choix	confiance	commentaire
PE::aguas-calientes	Aguas Calientes		OK	H	Nom correct (hamlet near Machu Picchu)
PE::arequipa	Arequipa		OK	H	Nom correct
PE::cajamarca	Cajamarca		OK	H	Nom correct
PE::chachapoyas	Chachapoyas		OK	H	Nom correct
PE::chiclayo	Chiclayo		OK	H	Nom correct
PE::chivay	Chivay		OK	H	Nom correct
PE::cusco	Cusco		OK	H	Nom correct
PE::huacachina	Huacachina		OK	H	Nom correct
PE::huaraz	Huaraz		OK	H	Nom correct
PE::leymebamba	Leymebamba		OK	H	Nom correct
PE::lima	Lima		OK	H	Nom correct
PE::nazca	Nazca		OK	H	Nom correct
PE::ollantaytambo	Ollantaytambo		OK	H	Nom correct (village touristique)
PE::paracas	Paracas		OK	H	Nom correct (station balnéaire)
PE::puno	Puno		OK	H	Nom correct
PE::trujillo	Trujillo		OK	H	Nom correct
```
