```tsv
place_id_actuel	nom_corrige	doublon_de	choix	confiance	commentaire
PL::bialowieza	Białowieża		OK	H	Orthographe locale acceptable (alphabet latin)
PL::bialystok	Białystok		OK	H	Orthographe locale acceptable
PL::bydgoszcz	Bydgoszcz		OK	H	Nom déjà correct
PL::czestochowa	Częstochowa		OK	H	Orthographe locale avec diacritiques
PL::dobrzyca	Dobrzyca		OK	H	Nom déjà correct
PL::dziwnow	Dziwnów		OK	H	Orthographe locale manquante
PL::gdansk	Gdańsk		OK	H	Orthographe locale acceptable
PL::hel	Hel		OK	H	Nom déjà correct
PL::kazimierz-dolny	Kazimierz Dolny		OK	H	Nom déjà correct
PL::kolobrzeg	Kołobrzeg		OK	H	Orthographe locale manquante
PL::koszalin	Koszalin		OK	H	Nom déjà correct
PL::krakow	Kraków		OK	H	Orthographe locale acceptable
PL::lancut	Łańcut		OK	H	Orthographe locale avec diacritiques
PL::leba	Łeba		OK	H	Orthographe locale manquante
PL::lublin	Lublin		OK	H	Nom déjà correct
PL::malbork	Malbork		OK	H	Nom déjà correct
PL::miedzyzdroje	Międzyzdroje		OK	H	Orthographe locale manquante
PL::oswiecim	Oświęcim		OK	H	Orthographe locale (Auschwitz)
PL::plock	Płock		OK	H	Orthographe locale manquante
PL::poznan	Poznań		OK	H	Orthographe locale acceptable
PL::sanok	Sanok		OK	H	Nom déjà correct
PL::sierakow-slawienski	Sieraków Śląski		?	M	Nom complet incertain, à vérifier
PL::sopot	Sopot		OK	H	Nom déjà correct
PL::suprasl	Supraśl		OK	H	Orthographe locale manquante
PL::swinoujscie	Świnoujście		OK	H	Orthographe locale manquante
PL::szczecin	Szczecin		OK	H	Nom déjà correct
PL::torun	Toruń		OK	H	Orthographe locale avec diacritique
PL::warsaw	Warsaw		OK	H	Nom anglais pour capitale (usage international)
PL::wroclaw	Wrocław		OK	H	Orthographe locale acceptable
PL::zakopane	Zakopane		OK	H	Nom déjà correct
PL::zalipie	Zalipie		OK	H	Nom simple suffisant (village connu)
PL::zamosc	Zamość		OK	H	Orthographe locale manquante
```
