```tsv
place_id_actuel	nom_corrige	doublon_de	choix	confiance	commentaire
RO::brasov	Brașov		OK	H	Orthographe locale correcte avec diacritique
RO::bucuresti	Bucharest		OK	H	Alphabet latin, nom anglais standard utilisé
RO::cluj-napoca	Cluj-Napoca		OK	H	Orthographe standard avec trait d'union
RO::constanta	Constanța		OK	H	Orthographe locale correcte avec diacritique
RO::gheorgheni	Gheorgheni		OK	H	Nom déjà correct
RO::gura-humorului	Gura Humorului		OK	H	Nom déjà correct
RO::histria	Histria		OK	H	Site archéologique, nom latin standard
RO::mangalia	Mangalia		OK	H	Nom déjà correct
RO::murfatlar	Murfatlar		OK	H	Nom déjà correct
RO::sibiu	Sibiu		OK	H	Nom déjà correct
RO::sighetu-marmatiei	Sighetu Marmației		OK	H	Orthographe locale correcte avec diacritique
RO::sighisoara	Sighișoara		OK	H	Orthographe locale correcte avec diacritique
RO::sinaia	Sinaia		OK	H	Nom déjà correct
```
