```tsv
place_id_actuel	nom_corrige	doublon_de	choix	confiance	commentaire
SK::banska-bystrica	Banská Bystrica		OK	H	Accent corrigé
SK::banska-stiavnica	Banská Štiavnica		OK	H	Nom local standard
SK::bratislava	Bratislava		OK	H	Déjà correct
SK::hrabusice	Hrabušice		OK	H	Nom local standard
SK::kosice	Košice		OK	H	Accent corrigé
SK::levoca	Levoča		OK	H	Nom local standard
SK::nova-sedlica	Nová Sedlica		OK	H	Nom local standard
SK::oravsky-podzamok	Oravský Podzámok		OK	H	Nom local standard
SK::stary-smokovec	Starý Smokovec		OK	H	Nom local standard
SK::trencin	Trenčín		OK	H	Accent corrigé
SK::trnava	Trnava		OK	H	Déjà correct
```
