```tsv
place_id_actuel	nom_corrige	doublon_de	choix	confiance	commentaire
SV::alegria	Alegría		OK	H	Accent manquant sur le í
SV::concepcion-de-ataco	Concepción de Ataco		OK	H	Correction accent + casse
SV::el-tunco	El Tunco		OK	H	Nom déjà correct
SV::el-zonte	El Zonte		OK	H	Nom déjà correct
SV::juayua	Juayúa		OK	H	Accent manquant sur le ú
SV::perquin	Perquín		OK	H	Accent manquant sur le í
SV::san-salvador	San Salvador		OK	H	Nom déjà correct
SV::santa-ana	Santa Ana		OK	H	Nom déjà correct
SV::suchitoto	Suchitoto		OK	H	Nom déjà correct
```
