```tsv
place_id_actuel	nom_corrige	doublon_de	choix	confiance	commentaire
TH::amphawa	Amphawa		OK	H	
TH::ayutthaya	Ayutthaya		OK	H	
TH::bangkok	Bangkok		OK	H	
TH::chanthaburi	Chanthaburi		OK	H	
TH::chiang-khan	Chiang Khan		OK	H	
TH::chiang-mai	Chiang Mai		OK	H	
TH::chiang-rai	Chiang Rai		OK	H	
TH::chumphon	Chumphon		OK	H	
TH::doi-inthanon	Doi Inthanon		OK	H	
TH::hua-hin	Hua Hin		OK	H	
TH::kanchanaburi	Kanchanaburi		OK	H	
TH::khao-lak	Khao Lak		OK	H	
TH::khao-sok	Khao Sok National Park		OK	H	Plus précis avec "National Park"
TH::khao-yai	Khao Yai		OK	H	
TH::khon-kaen	Khon Kaen		OK	H	
TH::koh-chang	Koh Chang		OK	H	
TH::koh-lanta	Koh Lanta		OK	H	
TH::koh-lipe	Koh Lipe		OK	H	
TH::koh-pha-ngan	Ko Pha-ngan		OK	H	Orthographe anglaise standard
TH::koh-phi-phi	Koh Phi Phi		OK	H	
TH::koh-samui	Ko Samui		OK	H	Orthographe anglaise standard
TH::koh-tao	Ko Tao		OK	H	Orthographe anglaise standard
TH::krabi	Krabi		OK	H	
TH::lampang	Lampang		OK	H	
TH::loei	Loei		OK	H	
TH::lopburi	Lopburi		OK	H	
TH::mae-hong-son	Mae Hong Son		OK	H	
TH::nakhon-ratchasima	Nakhon Ratchasima		OK	H	
TH::nong-khai	Nong Khai		OK	H	
TH::pai	Pai		OK	H	
TH::phetchaburi	Phetchaburi		OK	H	
TH::phimai	Phimai		OK	H	
TH::phuket	Phuket		OK	H	
TH::ranong	Ranong		OK	H	
TH::sukhothai	Sukhothai		OK	H	
TH::trang	Trang		OK	H	
TH::udon-thani	Udon Thani		OK	H	
```
