```tsv
place_id_actuel	nom_corrige	doublon_de	choix	confiance	commentaire
TR::adiyaman	Adiyaman			OK	H	
TR::amasya	Amasya			OK	H	
TR::antalya	Antalya			OK	H	
TR::ayvalik	Ayvalık			OK	H	Ajout diacritique turc
TR::bafa	Bafa			OK	H	
TR::behramkale	Behramkale			OK	H	
TR::bergama	Bergama			OK	H	
TR::bodrum	Bodrum			OK	H	
TR::bogazkale	Boğazkale			OK	H	Ajout diacritique turc
TR::bolu	Bolu			OK	H	
TR::canakkale	Çanakkale			OK	H	Ajout diacritique turc
TR::cesme	Çeşme			OK	H	Ajout diacritique turc
TR::dalyan	Dalyan			OK	H	
TR::datca	Datça			OK	H	Ajout diacritique turc
TR::demre	Demre			OK	H	
TR::didim	Didim			OK	H	
TR::diyarbakir	Diyarbakır			OK	H	Ajout diacritique turc
TR::dogubayazit	Doğubayazıt			OK	H	Ajout diacritiques turcs
TR::eceabat	Eceabat			OK	H	
TR::erzurum	Erzurum			OK	H	
TR::fethiye	Fethiye			OK	H	
TR::gaziantep	Gaziantep			OK	H	
TR::goreme	Göreme			OK	H	
TR::guzelyurt	Güzelyurt			OK	H	
TR::hasankeyf	Hasankeyf			OK	H	
TR::istanbul	Istanbul			OK	H	
TR::istanbul-bazar-epices	Istanbul - Spice Bazaar			OK	H	Nom anglais standard
TR::istanbul-besiktas	Istanbul - Beşiktaş			OK	H	Quartier avec diacritique
TR::istanbul-bosphore-croisiere	Istanbul - Bosphorus Cruise			OK	H	Nom anglais standard
TR::istanbul-camlica	Istanbul - Çamlıca			OK	H	Colline avec diacritiques
TR::istanbul-citerne-basilique	Istanbul - Basilica Cistern			OK	H	Nom anglais standard
TR::istanbul-dolmabahce	Istanbul - Dolmabahçe			OK	H	Palais avec diacritique
TR::istanbul-fener-balat	Istanbul - Fener-Balat			OK	H	Quartiers historiques
TR::istanbul-galata	Istanbul - Galata			OK	H	Tour/quartier
TR::istanbul-grand-bazar	Istanbul - Grand Bazaar			OK	H	Nom anglais standard
TR::istanbul-iles-princes	Istanbul - Princes' Islands			OK	H	Nom anglais standard
TR::istanbul-istiklal	Istanbul - İstiklal			OK	H	Avenue avec diacritique
TR::istanbul-kadikoy	Istanbul - Kadıköy			OK	H	Quartier avec diacritiques
TR::istanbul-mosquee-bleue	Istanbul - Blue Mosque			OK	H	Nom anglais standard
TR::istanbul-murailles-eyup	Istanbul - Eyüp Walls			OK	H	Nom anglais + diacritique
TR::istanbul-musee-archeologique	Istanbul - Archaeological Museum			OK	H	Nom anglais standard
TR::istanbul-ortakoy	Istanbul - Ortaköy			OK	H	Quartier avec diacritique
TR::istanbul-sainte-sophie	Istanbul - Hagia Sophia			OK	H	Nom anglais standard
TR::istanbul-suleymaniye	Istanbul - Süleymaniye			OK	H	Mosquée avec diacritique
TR::istanbul-topkapi	Istanbul - Topkapı			OK	H	Palais avec diacritique
TR::istanbul-uskudar	Istanbul - Üsküdar			OK	H	Quartier avec diacritiques
TR::kars	Kars			OK	H	
TR::kas	Kaş			OK	H	Ajout diacritique turc
TR::kemer	Kemer			OK	H	
TR::konya	Konya			OK	H	
TR::kop-pass	Köp Pass			?	M	Vérifier orthographe exacte
TR::mardin	Mardin			OK	H	
TR::marmaris	Marmaris			OK	H	
TR::midyat	Midyat			OK	H	
TR::oludeniz	Ölüdeniz			OK	H	Ajout diacritiques turcs
TR::olympos	Olympos			OK	H	
TR::pamukkale	Pamukkale			OK	H	
TR::rize	Rize			OK	H	
TR::safranbolu	Safranbolu			OK	H	
TR::sanliurfa	Şanlıurfa			OK	H	Ajout diacritique turc
TR::selcuk	Selçuk			OK	H	Correction orthographe
TR::trabzon	Trabzon			OK	H	
TR::uzungol	Uzungöl			OK	H	Ajout diacritique turc
TR::van	Van			OK	H	
```
